cores  ll-lazy  ll-coupling  ll-pugh  ll-copy  ll-harris  ll-harris-opt  ll-michael  ll-seq 
1 0.035 0.004 0.040 0.040 0.021 0.036 0.027 0.038
3 0.109 0.008 0.117 0.106 0.063 0.106 0.080 0.108
5 0.163 0.013 0.174 0.152 0.098 0.163 0.124 0.164
7 0.197 0.018 0.205 0.167 0.125 0.191 0.152 0.206
9 0.221 0.023 0.227 0.097 0.149 0.214 0.178 0.234
11 0.248 0.028 0.253 0.057 0.169 0.239 0.201 0.254
13 0.269 0.033 0.276 0.092 0.189 0.257 0.218 0.275
15 0.287 0.037 0.296 0.113 0.203 0.283 0.237 0.297
17 0.316 0.043 0.315 0.143 0.220 0.306 0.262 0.313
19 0.331 0.047 0.339 0.118 0.233 0.326 0.279 0.336
21 0.351 0.050 0.355 0.114 0.255 0.347 0.299 0.353
23 0.367 0.056 0.373 0.127 0.269 0.361 0.309 0.366
25 0.382 0.060 0.392 0.126 0.287 0.381 0.327 0.384
27 0.337 0.063 0.353 0.119 0.273 0.337 0.301 0.348
29 0.296 0.062 0.282 0.100 0.234 0.283 0.268 0.281
31 0.198 0.063 0.197 0.093 0.175 0.191 0.185 0.197
33 0.166 0.064 0.159 0.076 0.154 0.164 0.165 0.163
35 0.152 0.064 0.150 0.055 0.134 0.144 0.142 0.147
