cores  sl-herlihy  sl-pugh  sl-lf-fraser  sl-lf-herlihy  sl-seq 
1 2.038 2.198 1.542 1.721 2.202
3 5.929 6.363 4.511 5.066 6.381
5 9.276 10.283 7.469 8.355 6.357
7 5.099 10.790 7.164 8.713 5.197
9 4.520 7.232 4.998 7.359 5.473
11 3.724 5.347 4.695 5.526 7.355
13 3.675 4.791 4.050 4.621 5.859
15 3.330 4.328 5.329 4.192 6.074
17 3.422 4.151 3.771 4.170 6.141
19 3.874 4.660 4.103 4.481 6.185
21 3.989 4.684 4.174 4.577 6.351
23 3.962 4.618 4.083 4.431 6.858
25 4.140 4.676 4.177 4.517 6.431
27 4.216 4.786 4.276 4.759 6.685
29 4.457 5.233 5.288 4.924 6.969
31 4.423 4.931 4.368 4.944 6.430
33 4.624 5.053 4.578 5.066 6.708
35 5.148 6.091 5.024 5.342 7.117
