cores  bst-ellen  bst-drachsler  bst-natarajan  bst-howley  bst-bronson  bst-seq-ext  bst-seq-int 
1 4.068 6.595 4.986 4.699 5.727 4.904 7.623
9 30.462 44.702 37.905 34.515 39.602 36.546 50.920
17 50.413 63.680 61.110 52.242 56.365 65.736 48.569
25 72.595 87.274 86.383 74.162 74.134 95.037 64.221
33 90.566 98.031 106.000 90.618 94.397 121.869 71.627
41 111.052 97.196 129.687 109.426 108.002 145.888 59.828
49 126.805 128.706 145.571 107.009 129.075 164.779 12.005
57 137.602 145.635 168.005 127.633 137.190 183.288 39.354
65 154.770 151.601 189.812 135.642 161.507 201.656 61.581
73 167.026 167.670 210.552 141.413 177.523 221.292 18.982
