cores  bst-ellen  bst-drachsler  bst-natarajan  bst-howley  bst-bronson  bst-seq-ext  bst-seq-int 
1 7.154 8.346 6.901 5.766 5.332 7.227 6.169
3 17.832 18.377 18.035 13.949 12.961 18.331 16.553
5 27.200 26.852 27.817 21.696 20.331 28.432 27.485
7 32.842 32.280 35.261 28.131 26.231 37.085 34.627
9 38.278 34.989 39.719 33.548 29.862 43.603 42.016
11 42.283 38.488 43.607 38.694 35.264 50.595 47.527
13 45.665 38.497 48.841 42.797 38.175 55.087 52.098
15 47.216 40.107 49.356 45.085 37.552 58.729 56.220
17 49.246 40.912 53.042 48.507 41.501 63.025 60.031
19 52.087 40.948 55.172 50.497 42.420 66.859 62.994
21 53.162 41.776 57.698 54.312 43.331 70.545 66.105
23 56.479 43.037 59.888 54.391 43.362 73.181 69.338
25 59.100 44.549 62.522 58.292 45.980 75.180 71.929
27 61.075 46.014 64.638 57.142 46.238 79.555 73.224
29 63.971 47.303 67.937 57.499 48.297 82.278 76.813
31 66.079 48.210 70.080 62.577 52.765 86.019 80.179
33 67.707 49.791 72.478 62.594 52.397 87.430 81.639
35 70.768 50.858 75.897 64.087 55.810 90.908 83.951
37 73.067 51.812 77.816 62.016 56.656 93.418 85.479
39 75.542 53.286 80.697 69.170 56.562 96.240 86.766
41 77.810 54.022 83.441 66.213 57.072 98.089 88.003
43 80.019 55.240 85.680 61.104 60.972 99.192 91.484
45 82.045 55.910 86.734 68.317 58.212 101.022 91.621
47 84.331 56.448 90.100 65.608 62.594 97.912 93.075
