cores  bst-ellen  bst-drachsler  bst-natarajan  bst-howley  bst-bronson  bst-seq-ext  bst-seq-int 
1 6.660 8.316 6.989 6.965 6.762 6.854 8.543
3 19.189 23.204 20.443 19.675 18.506 19.737 23.951
5 31.675 36.310 33.250 31.870 30.020 30.267 38.331
7 41.479 49.636 46.626 43.960 40.891 43.702 52.394
9 53.157 61.036 54.147 55.443 51.430 55.117 65.547
11 58.081 64.120 62.235 61.015 54.410 63.763 74.757
13 65.101 70.279 70.729 69.816 60.624 74.146 84.809
15 73.917 77.984 82.045 78.473 68.862 85.660 96.853
17 84.570 85.030 88.716 87.537 76.045 97.643 108.988
19 92.127 93.846 101.644 95.797 84.772 106.219 119.099
21 100.866 100.319 107.026 101.769 92.016 117.124 127.513
23 105.329 105.275 114.967 108.210 97.214 124.729 135.899
25 110.624 109.712 124.755 111.973 101.922 130.797 138.737
27 118.145 114.819 130.244 117.541 105.914 140.417 146.480
29 124.697 122.630 132.132 120.478 112.069 147.653 150.053
31 130.089 122.701 146.303 125.292 115.784 156.629 154.239
33 137.969 129.823 151.793 128.559 122.216 160.256 162.193
35 137.130 135.204 157.278 134.556 126.387 169.594 167.296
37 141.508 139.484 164.576 136.590 132.597 177.610 169.362
39 148.568 143.357 167.951 142.314 136.150 182.463 175.482
