cores  bst-ellen  bst-drachsler  bst-natarajan  bst-howley  bst-bronson  bst-seq-ext  bst-seq-int 
1 3.983 5.186 4.220 3.857 2.021 5.453 7.780
9 31.072 40.750 31.380 31.998 16.655 46.218 62.204
17 47.638 68.562 52.593 51.516 25.138 78.534 99.873
25 61.456 88.404 63.828 64.447 30.620 97.016 124.292
33 70.897 106.855 69.190 71.221 34.069 119.648 140.849
41 76.394 128.035 62.672 74.949 36.608 142.616 157.276
49 84.259 136.463 63.124 75.342 38.480 153.865 165.607
57 86.452 143.102 66.287 78.857 39.823 162.457 172.661
65 92.982 147.565 65.969 79.007 42.059 170.138 177.130
73 117.771 162.930 86.218 98.597 55.367 213.024 211.739
81 136.239 180.776 106.937 112.402 64.171 239.690 241.859
89 146.546 195.119 122.660 121.831 69.998 256.502 257.267
97 150.593 210.788 121.584 127.556 73.091 270.699 278.409
105 172.257 223.654 121.657 131.149 76.342 296.188 286.687
113 175.257 233.938 127.731 128.722 78.387 305.566 290.400
121 178.132 236.690 125.050 125.109 80.013 322.124 292.976
129 179.696 241.533 132.951 131.353 82.149 315.068 298.251
137 203.017 255.964 146.307 147.266 94.706 355.871 345.581
145 219.985 264.112 165.335 148.780 102.571 376.019 355.105
153 233.095 278.575 174.802 154.027 108.512 402.126 372.750
161 240.555 284.928 191.202 159.609 112.880 423.271 392.584
169 260.639 299.194 190.956 163.498 115.759 439.796 391.256
177 261.385 307.309 197.568 156.645 117.954 444.583 407.932
185 256.367 309.144 177.466 159.237 119.580 459.203 402.860
193 257.300 319.934 197.304 164.566 121.419 449.583 405.306
201 281.216 326.404 213.822 161.992 131.652 483.603 428.741
209 287.946 333.650 233.029 172.268 141.092 502.588 449.772
217 294.904 341.632 243.969 166.463 146.856 530.527 456.754
225 114.071 350.866 249.496 172.901 150.077 530.081 477.928
233 111.763 360.717 246.807 172.082 153.283 551.381 483.291
241 110.801 365.379 256.412 172.022 155.488 575.259 478.940
249 112.328 369.892 249.953 165.055 157.021 577.913 498.838
