cores  ht-lea  ht-copy  ht-lazy  ht-coupling  ht-pugh  ht-harris  ht-seq 
1 48.911 33.640 26.770 23.882 28.079 26.900 29.034
9 247.215 225.896 196.028 154.324 203.488 194.531 226.523
17 213.656 269.935 277.489 138.465 282.506 254.374 344.404
25 224.047 334.240 360.866 132.793 365.680 329.241 457.087
33 223.274 343.186 438.593 117.820 441.081 400.236 546.422
41 224.969 356.988 498.484 112.624 468.904 434.201 615.688
49 225.574 399.554 436.382 114.956 492.280 511.114 640.020
57 238.486 378.920 476.459 118.338 533.244 542.201 679.712
65 242.635 371.991 493.253 124.554 509.462 582.433 705.164
73 219.317 440.952 532.550 128.694 481.021 524.753 717.398
