cores  ht-tbb  ht-lea  ht-copy  ht-lazy  ht-coupling  ht-pugh  ht-harris  ht-rcu  ht-seq 
1 14.726 41.508 30.381 24.875 22.357 26.226 24.991 6.513 28.449
3 13.082 56.985 52.244 49.756 28.503 52.765 50.312 16.571 60.171
5 18.675 71.343 71.135 72.775 39.820 76.285 73.868 26.036 86.424
7 23.440 77.145 80.607 87.024 45.009 91.017 87.491 34.531 102.556
9 27.216 81.600 86.282 95.232 49.631 99.001 96.949 40.844 112.597
11 30.900 85.883 91.186 103.707 54.541 108.680 105.316 47.108 121.288
13 34.565 88.138 94.195 109.771 57.598 115.437 113.045 52.404 127.999
15 37.799 90.660 96.958 115.840 59.865 120.147 113.704 56.813 133.538
17 40.831 92.230 98.810 117.832 61.083 122.821 118.467 60.242 137.899
19 43.268 93.435 99.817 120.570 62.526 125.327 119.715 64.020 141.381
21 46.556 96.620 102.424 124.755 65.015 130.463 124.761 67.442 146.435
23 49.139 99.820 105.621 128.256 66.747 134.752 123.257 69.334 150.475
25 51.898 102.964 108.607 132.616 67.727 140.266 123.858 74.900 155.711
27 53.840 106.840 112.202 137.682 66.904 144.832 127.052 79.115 161.552
29 55.682 106.640 115.555 141.425 65.135 149.772 130.077 82.886 165.539
31 57.621 109.048 118.635 144.555 63.697 153.028 141.705 86.488 167.338
33 57.868 114.553 120.628 143.411 61.884 151.499 135.271 86.986 166.847
35 57.340 112.458 122.754 141.383 60.530 151.616 138.521 90.275 164.588
37 58.118 116.041 123.665 136.897 60.031 149.789 127.778 95.737 161.656
39 59.528 118.357 123.661 134.460 59.737 144.702 133.562 99.020 157.928
41 59.374 118.458 122.838 129.301 59.248 142.610 121.656 101.953 153.926
43 59.097 113.594 122.138 126.314 59.051 139.109 115.438 100.951 149.602
45 59.885 115.398 120.580 124.082 58.475 135.556 114.884 106.828 146.482
47 57.456 99.767 118.084 121.963 58.259 132.161 120.939 109.362 144.650
