cores  ht-tbb  ht-lea  ht-copy  ht-lazy  ht-coupling  ht-pugh  ht-harris  ht-rcu  ht-seq 
1 32.891 58.616 42.998 35.766 32.080 37.541 36.389 9.009 39.348
3 47.508 139.981 118.969 100.172 76.057 106.007 101.174 25.317 114.791
5 64.184 221.680 193.652 164.326 117.693 173.874 165.586 41.532 191.065
7 77.459 296.305 266.691 228.584 157.696 239.963 229.059 57.473 266.056
9 83.591 364.595 336.975 289.410 196.350 304.716 292.394 73.118 340.176
11 41.527 307.384 328.698 301.436 190.812 319.333 289.117 80.055 359.944
13 40.127 302.822 348.892 326.705 182.032 349.402 309.146 91.301 404.329
15 41.506 324.253 387.576 371.155 186.502 392.595 346.501 103.903 463.250
17 41.726 352.918 431.684 413.443 194.789 439.471 387.282 117.477 517.075
19 42.306 384.587 474.722 462.250 210.420 489.022 428.302 130.493 580.572
21 43.891 407.425 506.229 493.160 220.794 521.625 459.499 141.619 621.689
23 47.326 421.309 521.511 511.140 230.008 535.732 477.271 150.048 644.306
25 48.910 431.688 538.752 526.361 239.442 556.943 495.085 161.101 673.921
27 52.078 446.271 555.546 545.898 246.453 564.819 514.592 170.249 696.499
29 54.138 458.266 570.397 562.072 255.963 586.012 532.742 177.712 722.390
31 57.839 475.585 583.837 575.525 262.033 606.179 547.539 188.536 748.352
33 59.501 483.633 599.876 598.102 269.597 623.097 567.290 198.611 767.867
35 62.987 499.216 607.553 607.632 276.866 633.133 583.848 206.551 793.712
37 65.237 509.919 628.860 632.601 282.473 652.055 599.565 216.657 821.629
39 68.056 517.079 638.478 647.702 236.446 671.190 614.933 226.189 843.455
