cores  ht-lea  ht-copy  ht-lazy  ht-coupling  ht-pugh  ht-harris  ht-seq 
1 33.076 27.096 20.752 11.639 23.411 15.144 24.792
9 227.442 192.796 155.973 45.749 177.246 115.690 195.862
17 328.422 276.542 218.060 30.549 254.899 173.041 279.407
25 404.104 338.155 264.627 24.257 305.439 222.704 333.770
33 453.007 376.757 300.489 21.524 341.137 265.946 373.421
41 475.327 405.179 336.557 21.655 369.188 310.690 401.999
49 498.834 436.053 360.970 22.317 395.587 338.219 427.345
57 522.030 455.930 383.955 22.302 421.101 363.514 453.526
65 536.875 475.824 408.940 21.519 446.241 390.350 482.234
73 560.259 532.843 484.942 9.075 525.407 448.866 594.558
81 594.442 585.093 545.048 10.033 595.573 503.994 671.236
89 635.981 644.751 603.766 9.811 658.593 559.844 741.474
97 675.653 694.301 646.891 9.742 704.800 605.282 792.768
105 706.256 730.517 685.008 9.690 741.368 650.266 824.364
113 736.307 766.321 711.890 9.693 771.652 675.878 855.552
121 758.461 793.949 735.222 9.564 797.177 706.348 877.324
129 773.037 816.589 756.304 9.337 819.669 729.261 897.831
137 784.256 862.324 809.226 9.092 881.795 778.132 969.648
145 787.921 886.563 850.087 8.680 922.117 813.708 1021.429
153 806.808 932.077 902.854 8.645 976.927 868.051 1061.942
161 822.105 972.140 946.606 8.563 1022.320 907.646 1097.039
169 834.006 1002.042 984.396 8.500 1060.886 955.231 1110.279
177 839.638 1037.884 1015.332 8.514 1094.439 986.936 1107.851
185 860.426 1065.940 1039.091 8.467 1120.875 1011.786 1109.943
193 853.540 1085.118 1059.385 8.385 1143.496 1036.788 1110.946
201 833.451 1111.716 1097.577 8.108 1182.753 1067.076 1143.749
209 812.840 1127.366 1126.662 7.951 1214.437 1096.316 1177.816
217 865.594 1162.282 1168.943 7.802 1259.328 1135.126 1198.443
225 870.037 1185.144 1204.193 7.756 1292.187 1174.029 1234.781
233 874.288 1197.265 1236.640 7.694 1324.467 1209.846 1241.308
241 620.918 1220.352 1266.600 7.726 1350.691 1237.077 1250.715
249 529.473 1241.531 1283.405 7.645 1373.205 1259.669 1265.585
