cores  ll-lazy  ll-coupling  ll-pugh  ll-copy  ll-harris  ll-harris-opt  ll-michael  ll-seq 
1 0.103 0.053 0.101 0.212 0.063 0.074 0.084 0.080
9 0.527 0.085 0.516 0.781 0.335 0.476 0.408 0.568
17 0.886 0.056 0.906 0.260 0.564 0.798 0.641 1.085
25 1.243 0.063 1.387 0.127 0.859 1.275 0.962 1.859
33 1.924 0.065 2.017 0.088 1.117 1.737 1.260 2.376
41 2.346 0.069 2.192 0.067 1.380 2.093 1.495 2.998
49 2.549 0.071 2.442 0.047 1.514 2.289 1.680 3.404
57 2.789 0.081 2.711 0.034 1.733 2.538 1.895 3.924
65 2.997 0.070 3.191 0.030 2.019 2.860 2.304 4.155
73 3.109 0.067 3.415 0.028 2.244 3.253 2.608 4.788
