cores  ll-lazy  ll-coupling  ll-pugh  ll-copy  ll-harris  ll-harris-opt  ll-michael  ll-seq 
1 0.092 0.037 0.091 0.113 0.061 0.086 0.071 0.081
3 0.234 0.021 0.239 0.267 0.161 0.233 0.194 0.224
5 0.364 0.029 0.364 0.306 0.251 0.354 0.288 0.358
7 0.484 0.032 0.485 0.287 0.334 0.471 0.382 0.508
9 0.605 0.035 0.600 0.276 0.417 0.588 0.472 0.619
11 0.697 0.039 0.729 0.268 0.492 0.705 0.556 0.771
13 0.852 0.043 0.849 0.243 0.570 0.819 0.645 0.914
15 0.969 0.044 0.886 0.225 0.655 0.906 0.729 1.053
17 1.079 0.046 1.034 0.213 0.718 1.038 0.808 1.171
19 1.191 0.049 1.132 0.203 0.800 1.125 0.911 1.296
21 1.115 0.053 1.091 0.199 0.824 1.168 0.914 1.344
23 1.126 0.056 1.126 0.197 0.836 1.099 1.078 1.386
25 1.163 0.059 1.181 0.191 0.898 1.120 0.982 1.689
27 1.291 0.061 1.262 0.185 0.964 1.224 1.112 1.662
29 1.411 0.066 1.434 0.180 1.055 1.538 1.135 1.804
31 1.486 0.066 1.564 0.179 1.153 1.455 1.240 1.980
33 1.722 0.069 1.627 0.164 1.225 1.588 1.367 2.132
35 1.788 0.070 1.804 0.120 1.323 1.729 1.503 1.673
37 1.954 0.071 2.099 0.073 1.445 1.887 1.586 2.435
39 2.096 0.071 2.120 0.052 1.518 2.048 1.653 2.567
41 2.227 0.072 2.284 0.044 1.634 2.187 1.808 2.678
43 2.378 0.072 2.465 0.038 1.707 2.376 1.887 2.802
45 2.475 0.070 2.434 0.035 1.777 2.436 1.989 2.928
47 2.563 0.069 2.644 0.034 1.857 2.510 1.966 3.043
