cores  ll-lazy  ll-coupling  ll-pugh  ll-copy  ll-harris  ll-harris-opt  ll-michael  ll-seq 
1 0.076 0.053 0.069 0.361 0.068 0.072 0.090 0.070
3 0.195 0.046 0.185 0.824 0.175 0.185 0.224 0.186
5 0.293 0.068 0.271 1.241 0.262 0.277 0.297 0.296
7 0.391 0.093 0.383 1.492 0.343 0.375 0.400 0.413
9 0.512 0.113 0.502 1.572 0.427 0.491 0.499 0.527
11 0.568 0.081 0.580 1.357 0.488 0.547 0.546 0.617
13 0.669 0.070 0.666 1.242 0.544 0.649 0.611 0.717
15 0.772 0.074 0.775 1.223 0.646 0.747 0.695 0.838
17 0.869 0.082 0.879 1.188 0.730 0.832 0.778 0.984
19 0.986 0.089 0.997 1.125 0.806 0.926 0.857 1.120
21 1.090 0.094 1.061 0.908 0.872 1.028 0.923 1.205
23 1.158 0.097 1.143 0.633 0.938 1.089 0.994 1.312
25 1.220 0.103 1.220 0.446 0.996 1.180 1.046 1.416
27 1.307 0.110 1.270 0.284 1.071 1.234 1.095 1.483
29 1.355 0.119 1.383 0.219 1.147 1.291 1.169 1.595
31 1.437 0.122 1.418 0.184 1.223 1.379 1.245 1.706
33 1.525 0.124 1.523 0.167 1.276 1.476 1.297 1.808
35 1.612 0.128 1.583 0.155 1.334 1.530 1.365 1.917
37 1.704 0.133 1.699 0.145 1.425 1.640 1.408 2.003
39 1.774 0.139 1.786 0.142 1.498 1.710 1.558 2.115
