cores  ll-lazy  ll-coupling  ll-pugh  ll-copy  ll-harris  ll-harris-opt  ll-michael  ll-seq 
1 0.051 0.018 0.062 0.161 0.049 0.061 0.051 0.059
9 0.377 0.049 0.496 0.449 0.407 0.466 0.416 0.489
17 0.626 0.063 0.851 0.215 0.721 0.810 0.709 0.830
25 0.914 0.091 1.226 0.115 0.949 1.159 0.912 1.224
33 1.162 0.119 1.541 0.105 1.087 1.478 1.062 1.552
41 1.422 0.146 1.857 0.074 1.253 1.744 1.165 1.883
49 1.665 0.174 2.130 0.071 1.270 2.011 1.214 2.171
57 1.885 0.196 2.346 0.072 1.320 2.171 1.240 2.399
65 2.104 0.129 2.579 0.073 1.386 2.411 1.292 2.586
73 2.428 0.098 2.974 0.077 1.731 2.740 1.638 3.028
81 2.661 0.102 3.354 0.081 2.053 3.135 1.940 3.416
89 2.978 0.106 3.694 0.081 2.276 3.477 2.156 3.773
97 3.205 0.118 4.020 0.080 2.460 3.766 2.321 4.133
105 3.454 0.119 4.359 0.070 2.585 4.074 2.410 4.350
113 3.731 0.122 4.625 0.069 2.613 4.348 2.457 4.757
121 3.948 0.127 4.856 0.071 2.660 4.561 2.483 4.909
129 4.158 0.128 5.064 0.069 2.722 4.740 2.532 5.165
137 4.439 0.120 5.465 0.071 3.071 5.122 2.876 5.519
145 4.687 0.118 5.833 0.074 3.382 5.453 3.180 5.918
153 4.974 0.113 6.161 0.073 3.624 5.794 3.372 6.314
161 5.248 0.166 6.492 0.072 3.782 6.121 3.536 6.654
169 5.498 0.170 6.862 0.069 3.937 6.429 3.633 6.894
177 5.763 0.156 7.097 0.070 3.927 6.655 3.677 7.246
185 5.978 0.122 7.318 0.070 3.999 6.840 3.715 7.540
193 6.169 0.112 7.574 0.067 4.053 7.093 3.759 7.720
201 6.511 0.111 7.904 0.069 4.357 7.448 4.102 8.126
209 6.708 0.101 8.311 0.069 4.702 7.753 4.394 8.438
217 6.958 0.103 8.663 0.067 4.953 8.136 4.584 8.819
225 6.925 0.097 8.541 0.071 5.120 8.132 4.692 8.751
233 6.879 0.101 8.534 0.072 4.981 7.971 4.683 8.664
241 6.708 0.099 7.931 0.074 4.588 7.649 4.624 8.418
249 6.522 0.099 7.469 0.073 4.377 7.212 4.542 7.843
