cores  sl-herlihy  sl-pugh  sl-lf-fraser  sl-lf-herlihy  sl-seq 
1 4.779 5.255 4.344 4.293 5.034
3 12.784 13.705 10.422 11.191 12.951
5 19.658 21.491 16.594 17.640 19.587
7 25.161 26.970 20.664 23.175 24.299
9 29.189 30.044 24.428 26.723 27.269
11 32.455 34.311 27.158 29.738 28.707
13 34.821 36.096 28.607 32.477 30.105
15 37.200 37.845 30.204 33.699 30.494
17 39.117 39.287 31.590 35.442 30.543
19 40.774 40.737 33.699 36.867 30.519
21 42.249 42.077 33.243 37.685 30.035
23 43.652 42.982 34.227 39.432 29.768
25 45.327 44.143 34.615 39.813 29.630
27 46.708 45.520 36.025 41.177 29.522
29 48.124 46.932 38.140 42.142 29.283
31 49.242 48.124 38.488 41.183 28.860
33 50.502 49.298 38.457 42.279 28.586
35 51.564 50.014 39.901 40.058 28.649
37 52.505 51.124 40.385 44.727 27.958
39 53.499 51.876 40.365 41.949 27.992
41 54.122 52.529 42.877 43.845 27.553
43 54.915 53.170 42.196 45.031 27.285
45 55.551 53.544 41.494 43.898 27.003
47 56.068 54.085 41.881 44.758 26.583
