cores  sl-herlihy  sl-pugh  sl-lf-fraser  sl-lf-herlihy  sl-seq 
1 5.562 5.990 5.182 5.113 5.662
3 16.020 17.057 14.734  16.323
5 25.961 27.762 24.153 23.942 26.685
7 35.057 37.913 33.111 32.704 36.691
9 44.229 47.387 41.255 40.922 46.117
11 48.358 51.374 44.982 44.720 52.430
13 55.462 58.928 51.700 51.305 61.058
15 62.946 66.706 58.508 58.386 69.737
17 70.465 74.582 65.296 65.277 78.285
19 77.444 82.072 72.070 72.299 86.217
21 83.132 88.033 77.179 77.705 92.937
23 87.028 91.825 80.674 81.217 97.618
25 91.600 96.480 84.845 85.135 102.013
27 95.088 100.020 87.832 88.581 106.785
29 99.625 104.718 92.463 92.591 111.409
31 103.572 108.243 95.829 96.660 116.263
33 107.711 112.959 100.008 100.884 121.178
35 111.069 116.887 102.521 103.657 125.333
37 116.036 121.111 107.385 108.127 130.104
39 118.408 124.342 109.722 111.148 134.892
