cores  sl-herlihy  sl-pugh  sl-lf-fraser  sl-lf-herlihy  sl-seq 
1 4.005 4.120 3.132 3.684 3.772
9 32.473 33.116 25.098 29.264 31.014
17 50.953 52.086 38.576 44.696 49.819
25 65.684 67.607 48.893 56.692 65.163
33 78.464 80.972 56.821 66.885 79.213
41 89.872 92.875 63.024 75.579 91.313
49 97.532 100.922 67.010 81.007 99.852
57 103.562 107.430 69.725 85.202 106.936
65 108.935 112.065 73.045 89.593 115.212
73 132.106 133.502 93.127 112.195 139.469
81 149.510 150.112 106.348 127.510 158.561
89 164.094 164.546 116.858 139.903 174.002
97 176.622 176.901 124.905 150.252 186.700
105 187.921 188.011 130.959 159.177 198.914
113 196.016 196.402 134.992 164.953 206.994
121 202.159 202.515 137.844 169.278 212.671
129 207.462 208.019 140.317 173.055 218.924
137 228.170 226.168 158.756 193.138 240.034
145 241.417 238.139 170.136 206.154 253.661
153 255.250 250.876 180.084 218.344 266.953
161 267.346 262.367 188.104 228.503 276.245
169 278.466 272.733 194.179 237.429 282.294
177 286.381 280.621 198.081 243.443 282.358
185 292.543 286.816 201.258 247.934 282.295
193 297.527 291.131 203.144 251.463 280.260
201 310.030 299.908 216.242 265.831 290.852
209 323.143 310.142 227.502 278.971 302.406
217 333.567 319.127 235.892 289.013 306.052
225 342.371 326.907 242.361 296.684 313.340
233 350.094 333.972 247.117 303.062 317.359
241 355.132 338.709 249.782 306.214 319.266
249 358.661 341.595 251.473 307.633 316.135
