#cores  throughput  linear  actual
1       3886694     1       1       
2       6610574     2       1.70    
3       8219341     3       2.11    
4       10491740    4       2.70    
5       11850429    5       3.05    
6       13590614    6       3.50    
7       15251261    7       3.92    
8       16789086    8       4.32    
9       18391963    9       4.73    
10      19941947    10      5.13    
11      21266870    11      5.47    
12      22460785    12      5.78    
13      23676541    13      6.09    
14      24938019    14      6.42    
15      26301834    15      6.77    
16      27198660    16      7.00    
17      28000750    17      7.20    
18      29211320    18      7.52    
19      30323152    19      7.80    
20      31690848    20      8.15    
21      31302392    21      8.05    
22      33097315    22      8.52    
23      34387082    23      8.85    
24      34290509    24      8.82    
25      35804095    25      9.21    
26      36115985    26      9.29    
27      36909619    27      9.50    
28      38295789    28      9.85    
29      38525835    29      9.91    
30      38915068    30      10.01   
31      40494510    31      10.42   
32      40858773    32      10.51   
33      41412350    33      10.65   
34      41775839    34      10.75   
35      40914691    35      10.53   
36      43548659    36      11.20   
37      42550118    37      10.95   
38      42973818    38      11.06   
39      44046969    39      11.33   
40      44680543    40      11.50   
41      44167004    41      11.36   
42      46806456    42      12.04   
43      45071693    43      11.60   
44      46667612    44      12.01   
45      47444629    45      12.21   
46      48512850    46      12.48   
47      48667968    47      12.52   
48      44300903    48      11.40   
