#cores  throughput  linear  actual
1       2838433     1       1       
2       3964887     2       1.40    
3       5971477     3       2.10    
4       6715225     4       2.37    
5       8433533     5       2.97    
6       9441806     6       3.33    
7       11139335    7       3.92    
8       12007194    8       4.23    
9       14176259    9       4.99    
10      14570449    10      5.13    
11      17128187    11      6.03    
12      17274073    12      6.09    
13      19326051    13      6.81    
14      19292522    14      6.80    
15      21554524    15      7.59    
16      21520715    16      7.58    
17      24043777    17      8.47    
18      23397404    18      8.24    
19      25973968    19      9.15    
20      25488627    20      8.98    
21      27661348    21      9.75    
22      25390919    22      8.95    
23      28582880    23      10.07   
24      29241175    24      10.30   
25      32114791    25      11.31   
26      29996522    26      10.57   
27      29957935    27      10.55   
28      28376579    28      10.00   
29      29860814    29      10.52   
30      33125867    30      11.67   
31      33362811    31      11.75   
32      32784951    32      11.55   
33      35738526    33      12.59   
34      33191134    34      11.69   
35      36047619    35      12.70   
36      30895030    36      10.88   
37      33421013    37      11.77   
38      33024592    38      11.63   
39      33037013    39      11.64   
40      33505440    40      11.80   
41      27695376    41      9.76    
42      31253845    42      11.01   
43      27311623    43      9.62    
44      32700972    44      11.52   
45      18814283    45      6.63    
46      22051606    46      7.77    
47      20338215    47      7.17    
48      19548010    48      6.89    
