#cores  throughput  linear  actual
1       13109       1       1       
2       3480        2       0.27    
3       4332        3       0.33    
4       5555        4       0.42    
5       6874        5       0.52    
6       7858        6       0.60    
7       8826        7       0.67    
8       9688        8       0.74    
9       10560       9       0.81    
10      11708       10      0.89    
11      12752       11      0.97    
12      13675       12      1.04    
13      14463       13      1.10    
14      15226       14      1.16    
15      16048       15      1.22    
16      16720       16      1.28    
17      17528       17      1.34    
18      18249       18      1.39    
19      18395       19      1.40    
20      18544       20      1.41    
21      18583       21      1.42    
22      18494       22      1.41    
23      18840       23      1.44    
24      18026       24      1.38    
25      18640       25      1.42    
26      17990       26      1.37    
27      17465       27      1.33    
28      16725       28      1.28    
29      17548       29      1.34    
30      16626       30      1.27    
31      16288       31      1.24    
32      15692       32      1.20    
33      14772       33      1.13    
34      14812       34      1.13    
35      14320       35      1.09    
36      14314       36      1.09    
37      15049       37      1.15    
38      13849       38      1.06    
39      13709       39      1.05    
40      13206       40      1.01    
41      12745       41      0.97    
42      12969       42      0.99    
43      11703       43      0.89    
44      12130       44      0.93    
45      11203       45      0.85    
46      11477       46      0.88    
47      10737       47      0.82    
48      11283       48      0.86    
