#cores  throughput  linear  actual
1       1374223     1       1       
2       2330208     2       1.70    
3       2891009     3       2.10    
4       3583790     4       2.61    
5       4035598     5       2.94    
6       4315031     6       3.14    
7       4362991     7       3.17    
8       4398684     8       3.20    
9       4312879     9       3.14    
10      4348118     10      3.16    
11      4392260     11      3.20    
12      4466061     12      3.25    
13      4416535     13      3.21    
14      4347366     14      3.16    
15      4329396     15      3.15    
16      4283667     16      3.12    
17      4270011     17      3.11    
18      4157326     18      3.03    
19      4095883     19      2.98    
20      4025303     20      2.93    
21      3945733     21      2.87    
22      3948683     22      2.87    
23      3870636     23      2.82    
24      3910004     24      2.85    
25      3766852     25      2.74    
26      3785553     26      2.75    
27      3679998     27      2.68    
28      3647677     28      2.65    
29      3643264     29      2.65    
30      3666145     30      2.67    
31      3624543     31      2.64    
32      3605343     32      2.62    
33      3593963     33      2.62    
34      3603061     34      2.62    
35      3447789     35      2.51    
36      3337981     36      2.43    
37      3334212     37      2.43    
38      3266890     38      2.38    
39      3251612     39      2.37    
40      3091700     40      2.25    
41      3083421     41      2.24    
42      2953000     42      2.15    
43      2875608     43      2.09    
44      2840056     44      2.07    
45      2804127     45      2.04    
46      3024543     46      2.20    
47      2824802     47      2.06    
48      2780019     48      2.02    
