#cores  throughput  linear  actual
1       459727      1       1       
2       853867      2       1.86    
3       1167893     3       2.54    
4       1458061     4       3.17    
5       1825814     5       3.97    
6       2078711     6       4.52    
7       2347457     7       5.11    
8       2643197     8       5.75    
9       3029507     9       6.59    
10      3375770     10      7.34    
11      3513635     11      7.64    
12      3692560     12      8.03    
13      4137728     13      9.00    
14      4230565     14      9.20    
15      4482769     15      9.75    
16      4839047     16      10.53   
17      4575068     17      9.95    
18      5123937     18      11.15   
19      5125747     19      11.15   
20      5438550     20      11.83   
21      5524386     21      12.02   
22      5564114     22      12.10   
23      5957690     23      12.96   
24      5964958     24      12.98   
25      6087033     25      13.24   
26      5801030     26      12.62   
27      5670894     27      12.34   
28      6110060     28      13.29   
29      6475798     29      14.09   
30      5639162     30      12.27   
31      6208928     31      13.51   
32      6220502     32      13.53   
33      6041401     33      13.14   
34      6133797     34      13.34   
35      6063301     35      13.19   
36      6578964     36      14.31   
37      6313878     37      13.73   
38      6109853     38      13.29   
39      6254615     39      13.61   
40      5521541     40      12.01   
41      6072795     41      13.21   
42      6149012     42      13.38   
43      6236594     43      13.57   
44      5965897     44      12.98   
45      6331828     45      13.77   
46      5943791     46      12.93   
47      5917480     47      12.87   
48      6178511     48      13.44   
