#cores  throughput  linear  actual
1       3243488     1       1       
2       4568191     2       1.41    
3       5063473     3       1.56    
4       4988932     4       1.54    
5       4694361     5       1.45    
6       4439412     6       1.37    
7       4523293     7       1.39    
8       4582086     8       1.41    
9       4660757     9       1.44    
10      4684834     10      1.44    
11      4606648     11      1.42    
12      4521324     12      1.39    
13      4505060     13      1.39    
14      4475761     14      1.38    
15      4429242     15      1.37    
16      4299781     16      1.33    
17      4222121     17      1.30    
18      4149243     18      1.28    
19      4118788     19      1.27    
20      4010591     20      1.24    
21      3987458     21      1.23    
22      3960083     22      1.22    
23      3941785     23      1.22    
24      3834129     24      1.18    
25      3859660     25      1.19    
26      3762267     26      1.16    
27      3764267     27      1.16    
28      3697675     28      1.14    
29      3637466     29      1.12    
30      3625493     30      1.12    
31      3551532     31      1.09    
32      3592649     32      1.11    
33      3556197     33      1.10    
34      3472626     34      1.07    
35      3471767     35      1.07    
36      3443093     36      1.06    
37      3425350     37      1.06    
38      3474211     38      1.07    
39      3426159     39      1.06    
40      3326639     40      1.03    
41      3381647     41      1.04    
42      3321104     42      1.02    
43      3230940     43      1.00    
44      3224350     44      0.99    
45      3212246     45      0.99    
46      3134319     46      0.97    
47      3086028     47      0.95    
48      3080226     48      0.95    
