### params -i64 -r128 -u40 / keep median of reps 7 of dur 5000
# Result from 7 repetitions: median
#       lpd48corelf-ll_harris_opt_2 lpd48corelb-ll_lazy_2 lpd48corelb-ll_gl_2 lpd48corelb-ll_optik_gl_2 lpd48corelb-ll_optik_2 lpd48corelb-ll_optik_cache_2 lpd48corelb-ll_lazy_cache_2 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   throughput   
1       5151616      6286949      5365157      6414820      5964185      8654299      9209220      
2       6763285      7385128      2925641      5396888      7245240      8833168      8618561      
4       9581668      8413999      2780667      5635922      9038051      10758768     9669115      
6       10081608     8421786      2276621      5658104      9784482      11254779     9741126      
8       10333881     7934843      1978390      5373894      9828667      11314608     9147734      
10      10444427     7502353      1798177      5146452      9924102      11602585     8564197      
12      10270931     6957739      1665618      4729120      9747806      11017819     7981227      
14      10207776     6523085      1539682      4230941      9732477      10955029     7314871      
16      10137538     6271040      1427639      3772435      9716148      10861386     6965097      
18      10001512     6049004      1352496      3217988      9687527      10849335     6702267      
20      9956123      5858812      1282587      2722179      9613401      10721614     6482126      
22      9818011      5681755      1220402      2374371      9672121      10669069     6336540      
24      9772969      5552261      1168586      2042297      9618302      10647054     6210445      
26      9699984      5444491      1112567      1857656      9609867      10586179     6095998      
28      9626491      5344237      1076439      1684861      9525166      10537917     6039418      
30      9613703      5271948      1021412      1531627      9527432      10564745     5969027      
32      9571539      5170940      989337       1443772      9493749      10489202     5855096      
34      9513440      5047686      967254       1343174      9464791      10517321     5785373      
36      9464738      4954035      940478       1264055      9488448      10507249     5687417      
38      9479172      4868943      899434       1198696      9454910      10439113     5646636      
40      9404557      4757911      864130       1164978      9477109      10454169     5553692      
42      9347084      4642834      826377       1119698      9425701      10460540     5458852      
44      9300381      4525851      812016       1070744      9425501      10419895     5373443      
46      9275592      4461700      776319       1047807      9319412      10375741     5285817      
48      9262171      4376967      758258       1015358      9281644      10419425     5257038      
52      9279949      3323805      5980         1001479      8125641      9229446      3490600      
56      9252147      2371098      3961         980105       7321249      7995196      2393863      
60      9258691      1783593      4421         969656       6538131      6952815      1785574      
64      9177964      1373551      4595         970390       5969982      6454814      1321596      
