### params -i64 -r128 -u40 / keep median of reps 7 of dur 5000
# Result from 7 repetitions: median
#       lpdxeon2680lf-ll_harris_opt_2 lpdxeon2680lb-ll_lazy_2 lpdxeon2680lb-ll_gl_2 lpdxeon2680lb-ll_optik_gl_2 lpdxeon2680lb-ll_optik_2 lpdxeon2680lb-ll_optik_cache_2 lpdxeon2680lb-ll_lazy_cache_2 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   throughput   
1       6441752      8699270      7296823      8681862      7899504      11641137     12509973     
2       11538080     14797078     8817782      9666535      13645394     16615741     10699905     
4       13062959     12985563     3880504      7625347      13514345     16016427     15880659     
6       13929058     13391485     3774190      6717251      14958521     17358279     18128549     
8       16149943     14217614     3807726      6691127      14909871     18715127     18514853     
10      17135389     15211876     3741492      6908123      17578627     20112169     18209122     
12      18830024     15824843     3697106      7328235      18665286     22021872     17525954     
14      20897269     15731403     3729589      7427045      19627337     23205152     16768451     
16      21650286     15358212     3648441      7747998      20777592     25022026     15868121     
18      22635492     15044074     3705364      7794171      22031479     25278363     15140324     
20      24681299     14560746     3691556      8094720      22213236     26599764     14528190     
22      24089517     13886971     3769605      7970431      23509639     27106298     14250278     
24      24767081     13777520     3750215      8028642      24436193     27716228     14194009     
26      25146438     13585205     3661153      8280399      24601422     28443089     14121975     
28      25702894     13362800     3602043      8377024      25488397     29040076     14056238     
30      26186875     13278857     3436156      8383814      26181394     29445386     14086121     
32      26806004     13121506     3361763      8629033      26386448     30480543     13909246     
34      27373305     12864679     3481929      8743620      27149589     31019826     13853304     
36      27932596     12754513     3259238      8864900      27852430     31489502     13758063     
38      28655548     12646720     3119318      9043615      28583508     32042037     13810823     
40      29012525     12503923     3182190      9152967      29387429     32569611     13774019     
44      28625373     8411684      15498        8708018      24631455     28269079     8573960      
48      28300566     5755989      14849        8691468      22876333     26376623     5590642      
52      28415566     3738638      13116        8519399      22144803     24901329     3574561      
56      28010875     2710005      17579        8331033      20850610     23503529     2273362      
60      28016183     1786416      9879         8238280      20534962     22769069     1820972      
