### params -i1024 -r2048 -u40 / keep median of reps 1 of dur 1000
# Result from 1 repetitions: median
#       lpdxeon2680lb-bst_bronson_2 lpdxeon2680lf-bst-aravind_2 lpdxeon2680lb-bst_tk_2 
#cores  throughput   throughput   throughput   
1       8180804      10590253     11165460     
2       8668568      17201045     18916254     
4       13271567     23610426     25192082     
6       17493044     29517127     31526644     
8       19128338     37468332     34562429     
10      20094406     36266591     47855720     
12      21958183     50705880     43858069     
14      20276850     43539078     49992855     
16      19815060     55690996     65399020     
18      19696792     48435666     53981497     
20      17550713     54558821     57638630     
22      17868519     51123221     61649715     
24      18423314     52087590     60935535     
26      16742200     55396086     63290044     
28      16893710     54686257     66254209     
30      16386598     55905182     68360509     
32      16427411     58258400     70595542     
34      15985681     58807704     70545459     
36      16009819     60388835     76198647     
38      15870587     62771584     74956891     
40      15538351     62291318     77807256     
44      11220149     60827268     69322305     
48      9438053      58589626     66806353     
52      7269505      57935949     69417675     
56      8211833      58970504     60981546     
60      7001154      58272327     58110860     
