### params -i65536 -r131072 -u40 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpdxeon2680lb-ht_lazy_gl_0 lpdxeon2680lb-ht_java_0 lpdxeon2680lb-ht_java_optik_0 lpdxeon2680lb-ht_optik0_0 lpdxeon2680lb-ht_optik1_0 lpdxeon2680lb-ht_map_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   
1       22795258     35280916     35182826     22846978     31608360     36752964     
2       36316186     40497590     41441142     24881286     58291066     42769568     
4       61116834     63708336     57120477     55126671     72295988     82889100     
6       86471597     76590628     83034954     77676455     100768904    128610604    
8       112417134    110215216    96085856     97489476     135320354    155156531    
10      137837110    120038378    117663529    122376620    160759819    198584258    
12      152124499    140826706    130943159    131052025    195698750    243043472    
14      192632358    173756494    159110009    166529314    220059654    259113582    
16      199493014    169864912    176029984    179337832    245267901    305822063    
18      225177572    183848090    186469998    203572624    254610349    329420122    
20      245412936    190425742    198857186    214617111    278242985    365293567    
22      258829500    205281368    205577044    237543175    296427904    395584970    
24      274223828    212782802    208197741    246929618    317227944    415327262    
26      281040094    218647384    222090094    256412463    321003817    435267490    
28      290000286    227713922    229696040    264018643    332567233    447351283    
30      298016350    230612560    231361118    273857358    338476273    469883263    
32      306765151    238459403    241441653    282129424    346710970    482980287    
34      313126004    246142989    248467142    291671406    347277443    500458230    
36      318666394    246173656    254885016    299630487    368482293    522218872    
38      321369523    258225740    260766778    305314302    380456668    534410715    
40      317260876    259808437    257732616    314965104    379266038    541842184    
44      137406638    102220897    115727386    266237004    313194177    336708031    
48      85520516     98777822     104922062    256042696    301726112    309464652    
52      59872116     80532726     90071314     244984956    295244402    268484792    
56      43129200     83734717     83976505     236248443    285495324    250283212    
60      31449246     66817021     78347194     232030158    282315260    244077942    
