### params -i8192 -r16384 -u1 -l2 / keep median of reps 5 of dur 2000
# Result from 5 repetitions: median
#       ./bin/lpdxeon2680/lb-ht_lazy_gl ./bin/lpdxeon2680/lb-ht_java    ./bin/lpdxeon2680/lb-ht_java_optik./bin/lpdxeon2680/lb-ht_optik0  ./bin/lpdxeon2680/lb-ht_optik1  ./bin/lpdxeon2680/lb-ht_map     
#cores  throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability 
1       28759516    100.00  1           58168872    100.00  1           43872383    100.00  1           26072406    100.00  1           33623992    100.00  1           48149166    100.00  1           
2       55350780    96.23   1.92        101859295   87.55   1.75        87644956    99.89   2.00        51886261    99.50   1.99        63888622    95.00   1.90        95508385    99.18   1.98        
4       109706985   95.37   3.81        201077126   86.42   3.46        158995820   90.60   3.62        102433736   98.22   3.93        126882097   94.34   3.77        179995792   93.46   3.74        
6       156938866   90.95   5.46        290156844   83.14   4.99        230603050   87.60   5.26        147695827   94.41   5.66        174216033   86.36   5.18        268728688   93.02   5.58        
8       197821168   85.98   6.88        381599904   82.00   6.56        300414567   85.59   6.85        194339950   93.17   7.45        229280334   85.24   6.82        334224478   86.77   6.94        
10      253198747   88.04   8.80        444793799   76.47   7.65        368132956   83.91   8.39        243683098   93.46   9.35        282513069   84.02   8.40        448910689   93.23   9.32        
12      290697826   84.23   10.11       529044808   75.79   9.09        414521408   78.74   9.45        284747339   91.01   10.92       336640622   83.43   10.01       538067869   93.13   11.18       
14      326853429   81.18   11.37       594893355   73.05   10.23       469605688   76.46   10.70       325220980   89.10   12.47       382965536   81.35   11.39       601597096   89.25   12.49       
16      367438971   79.85   12.78       681077126   73.18   11.71       543932074   77.49   12.40       360330224   86.38   13.82       435475249   80.95   12.95       683512724   88.72   14.20       
18      423943598   81.89   14.74       695949080   66.47   11.96       554925076   70.27   12.65       399639996   85.16   15.33       476358120   78.71   14.17       750837111   86.63   15.59       
20      464775513   80.80   16.16       820709294   70.55   14.11       601359530   68.54   13.71       425176242   81.54   16.31       527952556   78.51   15.70       817172542   84.86   16.97       
22      471229044   74.48   16.39       868443511   67.86   14.93       670348344   69.45   15.28       478251842   83.38   18.34       522635224   70.65   15.54       929734010   87.77   19.31       
24      531409244   76.99   18.48       859802056   61.59   14.78       690249795   65.55   15.73       465841304   74.45   17.87       575696298   71.34   17.12       956911517   82.81   19.87       
26      545384162   72.94   18.96       929979728   61.49   15.99       702367398   61.57   16.01       525844800   77.57   20.17       619529406   70.87   18.43       1007627982  80.49   20.93       
28      567315782   70.45   19.73       963916850   59.18   16.57       715258402   58.23   16.30       544873975   74.64   20.90       638201479   67.79   18.98       1040669670  77.19   21.61       
30      583558578   67.64   20.29       984818678   56.43   16.93       716620497   54.45   16.33       565226769   72.26   21.68       667093620   66.13   19.84       1092149672  75.61   22.68       
32      604084226   65.64   21.00       1040543805  55.90   17.89       731669852   52.12   16.68       583958853   69.99   22.40       687551861   63.90   20.45       1132225660  73.48   23.51       
34      628265112   64.25   21.85       1050874044  53.14   18.07       724773004   48.59   16.52       607389234   68.52   23.30       704196002   61.60   20.94       1183202134  72.28   24.57       
36      648059224   62.59   22.53       1092172202  52.16   18.78       735049421   46.54   16.75       619797476   66.03   23.77       730140062   60.32   21.71       1219023320  70.33   25.32       
38      668745137   61.19   23.25       1113282766  50.37   19.14       726899436   43.60   16.57       639267850   64.52   24.52       767243100   60.05   22.82       1255521973  68.62   26.08       
40      687530838   59.77   23.91       1139719306  48.98   19.59       747522984   42.60   17.04       659609004   63.25   25.30       777560936   57.81   23.13       1303739440  67.69   27.08       
44      686368856   54.24   23.87       1054047982  41.18   18.12       694685445   35.99   15.83       660630178   57.59   25.34       781129229   52.80   23.23       1285392375  60.67   26.70       
48      684371796   49.58   23.80       971112852   34.78   16.69       646362502   30.69   14.73       656870139   52.49   25.19       767182816   47.53   22.82       1293677094  55.98   26.87       
52      684664144   45.78   23.81       948155878   31.35   16.30       603428468   26.45   13.75       664900732   49.04   25.50       777241826   44.45   23.12       1259506794  50.30   26.16       
56      690892306   42.90   24.02       904547434   27.77   15.55       574469946   23.38   13.09       657203330   45.01   25.21       772502813   41.03   22.97       1279258148  47.44   26.57       
60      691475164   40.07   24.04       877402924   25.14   15.08       504030642   19.15   11.49       668059187   42.71   25.62       765920910   37.96   22.78       1239990278  42.92   25.75       
