### params -i8192 -r16384 -u40 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpdxeon2680lf-ll_harris_opt_0 lpdxeon2680lb-ll_lazy_0 lpdxeon2680lb-ll_gl_0 lpdxeon2680lb-ll_optik_gl_0 lpdxeon2680lb-ll_optik_0 lpdxeon2680lb-ll_optik_cache_0 lpdxeon2680lb-ll_lazy_cache_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   throughput   
1       31132        30090        19504        32189        32048        43220        47270        
2       56076        58420        32924        51403        58560        82878        87248        
4       100726       105426       43882        77282        104385       155832       154932       
6       133281       142406       43700        78487        135671       205910       205548       
8       158257       174618       42750        78440        164195       239240       245788       
10      187127       202187       41133        75207        190062       282215       290896       
12      215556       229465       41062        72269        235266       327198       330616       
14      239826       249830       39866        72303        244002       357318       366384       
16      261994       271107       39652        71820        269406       401529       417220       
18      284596       291139       39044        71424        292960       418689       441950       
20      309972       325730       39253        70002        309619       447250       481076       
22      329758       341992       39229        69948        343649       500822       525211       
24      350680       371160       38599        69218        354982       535807       551232       
26      372564       388752       37970        68123        373911       547090       563306       
28      384570       410379       37269        67622        387343       562044       587887       
30      396402       416348       38266        65714        393606       576520       599749       
32      400252       430177       36952        64552        408390       592224       620220       
34      431452       452032       37406        63810        445465       613512       658790       
36      442388       477342       37234        64101        447752       643186       689850       
38      465240       477773       37361        61529        444841       660934       730590       
40      462626       482208       35730        62061        480391       681279       701556       
44      457499       479484       3376         60445        456750       638694       691729       
48      444740       474588       2539         60643        462510       649254       713231       
52      425644       487689       1622         59202        451739       674712       669166       
56      454137       463572       2210         61297        425372       672760       680898       
60      436913       476383       1112         59660        434096       636910       690182       
