### params -i4 -r8 -u20 / keep median of reps 5 of dur 2000
# Result from 5 repetitions: median
#       ./bin/lpdxeon2680/lb-map        ./bin/lpdxeon2680/lb-map_optik  
#cores  throughput  %linear scalability throughput  %linear scalability 
1       45849884    100.00  1           64969584    100.00  1           
2       8009123     8.73    0.17        65413742    50.34   1.01        
4       4716195     2.57    0.10        40526874    15.59   0.62        
6       5057108     1.84    0.11        36862738    9.46    0.57        
8       5343096     1.46    0.12        33727384    6.49    0.52        
10      5649568     1.23    0.12        27081861    4.17    0.42        
12      6000890     1.09    0.13        25367538    3.25    0.39        
14      5895182     0.92    0.13        25770849    2.83    0.40        
16      6277432     0.86    0.14        22620040    2.18    0.35        
18      6543930     0.79    0.14        24426017    2.09    0.38        
20      6499647     0.71    0.14        23254304    1.79    0.36        
22      6510588     0.65    0.14        23337362    1.63    0.36        
24      6704894     0.61    0.15        22796518    1.46    0.35        
26      6669297     0.56    0.15        23052649    1.36    0.35        
28      6958714     0.54    0.15        23303896    1.28    0.36        
30      6373312     0.46    0.14        23636554    1.21    0.36        
32      6923271     0.47    0.15        24551704    1.18    0.38        
34      7076192     0.45    0.15        24469094    1.11    0.38        
36      7385434     0.45    0.16        25073049    1.07    0.39        
38      6343296     0.36    0.14        25414866    1.03    0.39        
40      7226565     0.39    0.16        25794616    0.99    0.40        
44      88581       0.00    0.00        24762570    0.87    0.38        
48      146935      0.01    0.00        22410366    0.72    0.34        
52      84268       0.00    0.00        20914092    0.62    0.32        
56      109752      0.00    0.00        20584978    0.57    0.32        
60      76022       0.00    0.00        21020264    0.54    0.32        
