### params -i65534 -p50 / keep median of reps 5 of dur 2000
# Result from 5 repetitions: median
#       ././bin/lpdxeon2680/lf-qu_ms    ./bin/lpdxeon2680/lb-qu_ms      ./bin/lpdxeon2680/lb-qu_optik0  ./bin/lpdxeon2680/lb-qu_optik1  ./bin/lpdxeon2680/lb-qu_optik2  ./bin/lpdxeon2680/lb-qu_optik3  
#cores  throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability 
1       47644258    100.00  1           34072362    100.00  1           39821946    100.00  1           36965376    100.00  1           42600839    100.00  1           43125848    100.00  1           
2       17388319    18.25   0.36        9328276     13.69   0.27        5138462     6.45    0.13        9209166     12.46   0.25        11509915    13.51   0.27        21682321    25.14   0.50        
4       7334893     3.85    0.15        4543695     3.33    0.13        5242340     3.29    0.13        5864152     3.97    0.16        7237721     4.25    0.17        7802996     4.52    0.18        
6       5596749     1.96    0.12        4555390     2.23    0.13        5380554     2.25    0.14        5446693     2.46    0.15        5546816     2.17    0.13        6163550     2.38    0.14        
8       5054993     1.33    0.11        4785480     1.76    0.14        4938554     1.55    0.12        4888251     1.65    0.13        4973429     1.46    0.12        5672736     1.64    0.13        
10      5274388     1.11    0.11        4888541     1.43    0.14        4819489     1.21    0.12        5467372     1.48    0.15        4825306     1.13    0.11        5131471     1.19    0.12        
12      4820114     0.84    0.10        4770812     1.17    0.14        4633826     0.97    0.12        5131690     1.16    0.14        4828808     0.94    0.11        4913208     0.95    0.11        
14      4663956     0.70    0.10        4746592     1.00    0.14        4682126     0.84    0.12        4737725     0.92    0.13        4697649     0.79    0.11        4855404     0.80    0.11        
16      4641588     0.61    0.10        4902252     0.90    0.14        4724175     0.74    0.12        4785324     0.81    0.13        4695548     0.69    0.11        4910767     0.71    0.11        
18      4625807     0.54    0.10        4802803     0.78    0.14        4313988     0.60    0.11        4729473     0.71    0.13        4498525     0.59    0.11        4564686     0.59    0.11        
20      4464138     0.47    0.09        4748056     0.70    0.14        4225486     0.53    0.11        4687378     0.63    0.13        4446103     0.52    0.10        4491606     0.52    0.10        
22      4262237     0.41    0.09        4900294     0.65    0.14        4268030     0.49    0.11        4619576     0.57    0.12        4425195     0.47    0.10        4392215     0.46    0.10        
24      4219846     0.37    0.09        4767056     0.58    0.14        4228823     0.44    0.11        4537187     0.51    0.12        4395284     0.43    0.10        4350960     0.42    0.10        
26      4145006     0.33    0.09        4782843     0.54    0.14        4194762     0.41    0.11        4433339     0.46    0.12        4336109     0.39    0.10        4235752     0.38    0.10        
28      4226922     0.32    0.09        4786640     0.50    0.14        4166526     0.37    0.10        4315000     0.42    0.12        4267489     0.36    0.10        4215881     0.35    0.10        
30      4043005     0.28    0.08        4868854     0.48    0.14        4038490     0.34    0.10        4256605     0.38    0.12        4243278     0.33    0.10        4068524     0.31    0.09        
32      3958293     0.26    0.08        4881088     0.45    0.14        4175194     0.33    0.10        4141186     0.35    0.11        4100172     0.30    0.10        4024554     0.29    0.09        
34      4018991     0.25    0.08        4881438     0.42    0.14        4156135     0.31    0.10        4201414     0.33    0.11        4127544     0.28    0.10        3967696     0.27    0.09        
36      3870940     0.23    0.08        4914648     0.40    0.14        4239386     0.30    0.11        4104980     0.31    0.11        3953840     0.26    0.09        3933343     0.25    0.09        
38      3732926     0.21    0.08        4908176     0.38    0.14        4260562     0.28    0.11        3799860     0.27    0.10        3909036     0.24    0.09        3807016     0.23    0.09        
40      3670521     0.19    0.08        4856968     0.36    0.14        4139664     0.26    0.10        3766412     0.25    0.10        3837051     0.23    0.09        3805192     0.22    0.09        
44      3766903     0.18    0.08        138245      0.01    0.00        82050       0.00    0.00        119306      0.01    0.00        3731641     0.20    0.09        3130994     0.17    0.07        
48      3759700     0.16    0.08        87818       0.01    0.00        84726       0.00    0.00        126928      0.01    0.00        3592235     0.18    0.08        2760104     0.13    0.06        
52      3728642     0.15    0.08        74960       0.00    0.00        117946      0.01    0.00        92884       0.00    0.00        3547624     0.16    0.08        2223409     0.10    0.05        
56      3861060     0.14    0.08        97724       0.01    0.00        110903      0.00    0.00        114338      0.01    0.00        3527420     0.15    0.08        2064265     0.09    0.05        
60      4000637     0.14    0.08        119584      0.01    0.00        99817       0.00    0.00        113998      0.01    0.00        3424186     0.13    0.08        1695682     0.07    0.04        
