### params -i16384 -r32768 -u40 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpdxeon2680lf-sl_fraser_0 lpdxeon2680lb-sl_herlihy_0 lpdxeon2680lb-sl_optik2_0 lpdxeon2680lb-sl_optik_0 lpdxeon2680lb-sl_optik1_0 
#cores  throughput   throughput   throughput   throughput   throughput   
1       3534616      3787197      3819412      3891194      3879306      
2       6213096      6752323      6317305      7230727      7370067      
4       11199268     11410221     11408874     11601445     11710020     
6       15490344     16291582     16256640     16441394     16016984     
8       19896658     21290209     21196694     20880292     21557960     
10      24610859     26234996     25111815     24675366     25564359     
12      29003380     28603188     27347938     28435776     29635976     
14      31305156     32610554     30863686     32699641     31450956     
16      31669266     36199646     33750422     33129372     34650570     
18      37918910     38004440     37354563     36464084     37575732     
20      41872650     39953191     39664997     41339474     41451415     
22      41625252     44624359     44408898     44102565     42628383     
24      43269216     46200837     45909205     46428419     44559090     
26      45301128     48106126     47827438     48596932     47412686     
28      47352012     50798497     48390133     49038641     49569868     
30      48284229     51985472     50685008     49919720     50317464     
32      48302319     53761994     52493016     51542144     52524137     
34      51592243     54456681     56381006     53652640     54496920     
36      54341539     57868892     56395342     56910642     55620840     
38      52292915     59826268     56948281     58535631     58513242     
40      53575561     59491448     58560778     61006148     59783732     
44      49923416     41734790     48002842     53314484     52805948     
48      48180814     37035124     39165708     48730005     49895691     
52      47820298     33507023     35763851     44672692     44077065     
56      45288634     28896180     32150741     42908804     43457093     
60      44166018     25791300     28322578     43327832     44445037     
