### params -i512 -r1024 -u50 / keep median of reps 3 of dur 3000
# Result from 3 repetitions: median
#       ./bin/iccluster029/lf-sl_fraser ./bin/iccluster029/lb-sl_herlihy./bin/iccluster029/lb-sl_optik  ./bin/iccluster029/lb-sl_optik1 ./bin/iccluster029/lb-sl_optik2 
#cores  throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability 
1       8634759     100.00  1           9814922     100.00  1           9815249     100.00  1           9819734     100.00  1           9450089     100.00  1           
2       13621874    78.88   1.58        9860302     50.23   1.00        10046838    51.18   1.02        15100552    76.89   1.54        9942218     52.60   1.05        
4       16134880    46.71   1.87        17810865    45.37   1.81        17408499    44.34   1.77        17922254    45.63   1.83        17578419    46.50   1.86        
6       21732830    41.95   2.52        23532754    39.96   2.40        22085553    37.50   2.25        22849622    38.78   2.33        23145785    40.82   2.45        
8       26356946    38.16   3.05        29597812    37.69   3.02        28111510    35.80   2.86        28381041    36.13   2.89        28527801    37.73   3.02        
10      32193758    37.28   3.73        34636257    35.29   3.53        33367100    34.00   3.40        35084265    35.73   3.57        33559635    35.51   3.55        
12      35164987    33.94   4.07        39134076    33.23   3.99        36044160    30.60   3.67        37706339    32.00   3.84        38227870    33.71   4.05        
14      38434245    31.79   4.45        41527665    30.22   4.23        39039378    28.41   3.98        43631799    31.74   4.44        42503391    32.13   4.50        
16      41493300    30.03   4.81        46906958    29.87   4.78        44802236    28.53   4.56        45056635    28.68   4.59        43630912    28.86   4.62        
18      44113210    28.38   5.11        47570379    26.93   4.85        45667909    25.85   4.65        48198553    27.27   4.91        46806497    27.52   4.95        
20      46529444    26.94   5.39        52424578    26.71   5.34        48132169    24.52   4.90        51248640    26.09   5.22        49698319    26.30   5.26        
22      48541556    25.55   5.62        52927773    24.51   5.39        50511969    23.39   5.15        54020348    25.01   5.50        52281448    25.15   5.53        
24      50697637    24.46   5.87        55389038    23.51   5.64        53029193    22.51   5.40        56791672    24.10   5.78        54813572    24.17   5.80        
26      52382141    23.33   6.07        57190589    22.41   5.83        55232268    21.64   5.63        59201182    23.19   6.03        57222826    23.29   6.06        
28      53903334    22.29   6.24        58965994    21.46   6.01        57224803    20.82   5.83        61681747    22.43   6.28        59210858    22.38   6.27        
30      55293834    21.35   6.40        61233678    20.80   6.24        59266371    20.13   6.04        64091117    21.76   6.53        61818398    21.81   6.54        
32      56803120    20.56   6.58        63158419    20.11   6.43        61157034    19.47   6.23        66122959    21.04   6.73        63663351    21.05   6.74        
34      58238269    19.84   6.74        64806237    19.42   6.60        62761520    18.81   6.39        68187867    20.42   6.94        65884374    20.51   6.97        
36      59748266    19.22   6.92        66690224    18.87   6.79        64590616    18.28   6.58        70215667    19.86   7.15        67517252    19.85   7.14        
38      60963086    18.58   7.06        68274294    18.31   6.96        66403340    17.80   6.77        72236034    19.36   7.36        68819113    19.16   7.28        
40      62239609    18.02   7.21        68477578    17.44   6.98        67606674    17.22   6.89        73963366    18.83   7.53        71264529    18.85   7.54        
42      63289845    17.45   7.33        70511410    17.11   7.18        69334167    16.82   7.06        76149267    18.46   7.75        72784206    18.34   7.70        
44      64667911    17.02   7.49        71988872    16.67   7.33        70763115    16.39   7.21        77498955    17.94   7.89        73683523    17.72   7.80        
46      65494273    16.49   7.58        73697234    16.32   7.51        72092280    15.97   7.34        79108639    17.51   8.06        75409660    17.35   7.98        
48      66535526    16.05   7.71        73963465    15.70   7.54        72577009    15.40   7.39        79098637    16.78   8.06        75899069    16.73   8.03        
52      61298290    13.65   7.10        34449298    6.75    3.51        41944025    8.22    4.27        46910259    9.19    4.78        37578803    7.65    3.98        
56      59754988    12.36   6.92        28505212    5.19    2.90        31065166    5.65    3.16        35663451    6.49    3.63        31471465    5.95    3.33        
60      57548783    11.11   6.66        21080178    3.58    2.15        25077436    4.26    2.55        31450117    5.34    3.20        20360452    3.59    2.15        
64      56434422    10.21   6.54        17258563    2.75    1.76        22590105    3.60    2.30        24020136    3.82    2.45        17756343    2.94    1.88        
68      55209519    9.40    6.39        15940751    2.39    1.62        20387111    3.05    2.08        21145313    3.17    2.15        16388283    2.55    1.73        
72      54736699    8.80    6.34        12018727    1.70    1.22        18806538    2.66    1.92        20353332    2.88    2.07        12791383    1.88    1.35        
