### params -i65534 -p50 / keep median of reps 3 of dur 3000
# Result from 3 repetitions: median
#       ././bin/iccluster029/lf-st_treiber./bin/iccluster029/lb-st_lock   ./bin/iccluster029/lb-st_optik  
#cores  throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability 
1       50464753    100.00  1           39511791    100.00  1           42203767    100.00  1           
2       25292573    25.06   0.50        2632312     3.33    0.07        25624666    30.36   0.61        
4       10652546    5.28    0.21        3518744     2.23    0.09        12367460    7.33    0.29        
6       7404228     2.45    0.15        3842859     1.62    0.10        8564819     3.38    0.20        
8       5719434     1.42    0.11        3623577     1.15    0.09        6581604     1.95    0.16        
10      5392302     1.07    0.11        3977384     1.01    0.10        5707834     1.35    0.14        
12      5098067     0.84    0.10        3753427     0.79    0.09        5261755     1.04    0.12        
14      4505952     0.64    0.09        3698803     0.67    0.09        4670158     0.79    0.11        
16      3756491     0.47    0.07        3854050     0.61    0.10        4381598     0.65    0.10        
18      3308432     0.36    0.07        3700062     0.52    0.09        3331998     0.44    0.08        
20      2667221     0.26    0.05        3469502     0.44    0.09        3424994     0.41    0.08        
22      2592613     0.23    0.05        3584605     0.41    0.09        2881313     0.31    0.07        
24      2138420     0.18    0.04        3369516     0.36    0.09        2747125     0.27    0.07        
26      1889239     0.14    0.04        3349458     0.33    0.08        2479905     0.23    0.06        
28      1850764     0.13    0.04        3308606     0.30    0.08        2477728     0.21    0.06        
30      1724647     0.11    0.03        3291221     0.28    0.08        2129259     0.17    0.05        
32      1662529     0.10    0.03        3251372     0.26    0.08        2027663     0.15    0.05        
34      1723918     0.10    0.03        3211202     0.24    0.08        1986380     0.14    0.05        
36      1622955     0.09    0.03        3224434     0.23    0.08        2021775     0.13    0.05        
38      1756650     0.09    0.03        3195472     0.21    0.08        1795391     0.11    0.04        
40      1744775     0.09    0.03        3150032     0.20    0.08        1880491     0.11    0.04        
42      1721263     0.08    0.03        3182287     0.19    0.08        1746410     0.10    0.04        
44      1733663     0.08    0.03        3238164     0.19    0.08        1832301     0.10    0.04        
46      1835390     0.08    0.04        3284747     0.18    0.08        1741767     0.09    0.04        
48      1731299     0.07    0.03        3257723     0.17    0.08        1638847     0.08    0.04        
52      1801748     0.07    0.04        25651       0.00    0.00        1547257     0.07    0.04        
56      1793810     0.06    0.04        19818       0.00    0.00        1524970     0.06    0.04        
60      1799711     0.06    0.04        19337       0.00    0.00        1425301     0.06    0.03        
64      1804157     0.06    0.04        24836       0.00    0.00        1414338     0.05    0.03        
68      1889025     0.06    0.04        55388       0.00    0.00        1312615     0.05    0.03        
72      1808346     0.05    0.04        19168       0.00    0.00        1231835     0.04    0.03        
