### params -i65536 -r131072 -u40 / keep median of reps 11 of dur 10000
# Result from 11 repetitions: median
#       lpd48corelb-bst_bronson_0 lpd48corelf-bst-aravind_0 lpd48corelb-bst_tk_0 
#cores  throughput   throughput   throughput   
1       2851375      2421327      2510841      
2       4067289      4255744      4529351      
4       7262621      7687044      8269685      
6       10146929     11380782     12136004     
8       12626701     14528248     15598168     
10      15363158     17665740     18864166     
12      17422485     21002086     22157004     
14      19968101     23895672     25647361     
16      21528163     26247612     28324315     
18      24311414     29481618     31222408     
20      25737110     32198310     33845863     
22      26940224     35055837     36739995     
24      28205449     37606459     38321448     
26      30144577     39546932     41013737     
28      31774782     42017292     43830052     
30      31375025     44966837     46245802     
32      32364049     47037331     49354037     
34      34419731     49694923     50773812     
36      34022521     51597545     53286666     
38      33735770     49727826     51356585     
40      31986860     47928192     50065195     
42      30992720     47893462     49512254     
44      30217452     48192742     49274055     
46      29825397     47799826     49656652     
48      29637391     47214878     47927375     
52      28608479     46699462     47386121     
56      27224065     44925854     46140004     
60      28280399     43843979     44265603     
64      26641502     42468166     43913028     
