### params -i65536 -r131072 -u / keep median of reps 7 of dur 5000
# Result from 7 repetitions: median
#       lpd48corelb-ht_lazy_gl_0 lpd48corelb-ht_java_0 lpd48corelb-ht_java_optik_0 lpd48corelb-ht_optik0_0 lpd48corelb-ht_optik1_0 lpd48corelb-ht_map_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   
1       9225162      26571472     26403287     5392616      14920629     14542554     
2       17764717     52607105     52148436     10770750     31004690     28526303     
4       35686717     104998966    104201216    21223144     62493657     58420880     
6       52801852     157219710    157784842    30889480     91512456     85279314     
8       70497242     208541059    208473374    41443007     119765776    115191165    
10      86380480     262357789    260366802    52012569     145115872    140559653    
12      102797174    305274136    310654252    62367132     175159816    165998136    
14      119932236    363303302    362575715    73972380     202967456    190549714    
16      139281867    413709157    412074169    82688064     231937202    216476088    
18      153650818    464985798    456510413    91398682     260918483    243181936    
20      170694834    507639511    509955079    101161760    279010562    261491897    
22      182521425    561893813    558401683    109926397    313376051    291385534    
24      201195816    613668748    606963523    119711622    334829952    315168357    
26      221008863    664722534    658884201    127433650    367625434    336096183    
28      235816700    715184222    708059402    137639488    388105387    345063966    
30      251056964    767806240    764059530    143059572    417176745    372752710    
32      265888260    809092741    807458914    150623980    449171129    399973493    
34      282190605    855102092    853024250    157400887    456481816    411686578    
36      298034612    910271354    906552527    166680143    495352038    418371111    
38      311523365    953404484    936563049    173273009    517810298    429957091    
40      326178085    1011715480   1003601164   178620887    540826443    429287484    
42      341914166    1046266863   1042139390   179597408    563367460    442754495    
44      360353904    1100010356   1107964895   181121575    582305576    456385130    
46      377731013    1150720534   1129566701   184837482    615630746    442065456    
48      392433142    1211847620   1193718513   188764118    593395519    435258980    
52      392782019    1206147605   1199850957   191249182    614146139    461258182    
56      389342168    1193479994   1197339608   189170677    623678042    442774243    
60      394262624    1195352796   1187559436   186416974    632337735    445146187    
64      393042349    1210893905   1189880978   189515550    626997013    444165020    
