### params -i8192 -r16384 -u1 -l2 / keep median of reps 11 of dur 5000
# Result from 11 repetitions: median
#       ./bin/lpd48core/lb-ht_lazy_gl   ./bin/lpd48core/lb-ht_java      ./bin/lpd48core/lb-ht_java_optik./bin/lpd48core/lb-ht_optik0    ./bin/lpd48core/lb-ht_optik1    ./bin/lpd48core/lb-ht_map       
#cores  throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability 
1       20200622    100.00  1           23085990    100.00  1           22984305    100.00  1           17585176    100.00  1           24283880    100.00  1           29388440    100.00  1           
2       37242378    92.18   1.84        40031154    86.70   1.73        40217929    87.49   1.75        33148228    94.25   1.89        44197277    91.00   1.82        53676410    91.32   1.83        
4       70023439    86.66   3.47        72964416    79.01   3.16        74418272    80.94   3.24        62002850    88.15   3.53        81351291    83.75   3.35        100255983   85.29   3.41        
6       98326204    81.12   4.87        97241388    70.20   4.21        96763576    70.17   4.21        86977894    82.43   4.95        111481975   76.51   4.59        138919427   78.78   4.73        
8       125015006   77.36   6.19        119337287   64.62   5.17        123006434   66.90   5.35        110719362   78.70   6.30        139047464   71.57   5.73        173513159   73.80   5.90        
10      149981449   74.25   7.42        139323003   60.35   6.03        141418363   61.53   6.15        131542836   74.80   7.48        162907924   67.08   6.71        205610738   69.96   7.00        
12      174467105   71.97   8.64        156985323   56.67   6.80        160031990   58.02   6.96        152418120   72.23   8.67        186456686   63.99   7.68        232171979   65.83   7.90        
14      192365483   68.02   9.52        175280082   54.23   7.59        179761001   55.86   7.82        171362419   69.61   9.74        203035251   59.72   8.36        258498027   62.83   8.80        
16      214166936   66.26   10.60       190950480   51.70   8.27        192906831   52.46   8.39        187373460   66.59   10.66       220810086   56.83   9.09        279401184   59.42   9.51        
18      229709769   63.17   11.37       206539159   49.70   8.95        212674414   51.41   9.25        203859120   64.40   11.59       239785359   54.86   9.87        299825468   56.68   10.20       
20      253791971   62.82   12.56       223779332   48.47   9.69        229168972   49.85   9.97        219507793   62.41   12.48       249390479   51.35   10.27       319753364   54.40   10.88       
22      267990032   60.30   13.27       233586071   45.99   10.12       238467592   47.16   10.38       236731045   61.19   13.46       263954635   49.41   10.87       337092281   52.14   11.47       
24      284792220   58.74   14.10       
