### params -i8192 -r16384 -u40 / keep median of reps 7 of dur 5000
# Result from 7 repetitions: median
#       lpd48corelb-ht_lazy_gl_0 lpd48corelb-ht_java_0 lpd48corelb-ht_java_optik_0 lpd48corelb-ht_optik0_0 lpd48corelb-ht_optik1_0 lpd48corelb-ht_map_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   
1       16724407     31053889     30552553     14881133     22008376     28668875     
2       14443985     14812865     14997641     13383484     16843777     21320849     
4       22301050     18917588     19749206     20688663     23864822     30795067     
6       28266715     24347611     25707362     27088081     30938262     40023407     
8       34009872     28645327     29434278     32968456     37500585     49208695     
10      40538359     33613225     34303163     39434847     43924328     59228545     
12      45162466     38165120     38698353     44638301     50063404     68307210     
14      50603059     42701925     43200731     50695121     56044573     77538477     
16      55857113     47163750     47166462     56109351     62325399     85699496     
18      61271118     51114183     51136076     61742267     67968533     93544847     
20      66761153     55192380     55175902     66478600     72552151     103697239    
22      71680402     58450467     59689842     71845806     78718652     109505274    
24      75547098     61579857     62919686     76910656     84555602     117398773    
26      80626043     65084549     65350226     82312489     89331727     122821628    
28      85447416     67535771     65546876     86744580     94546568     124398783    
30      89886721     70184748     66861877     92394109     97224779     126019348    
32      93641401     72300437     74375660     96134204     102905945    124642126    
34      99317544     68064049     71791169     100777556    101524661    123550486    
36      101720286    72826186     75975117     104038737    102408583    122914704    
38      105910184    64712731     72771246     107985193    105239320    119520200    
40      108408863    63714874     63296085     115188086    98234167     115828140    
42      110913277    62588965     63808409     116164838    98527740     112266376    
44      114029607    66945822     77556961     118495236    91918824     113290302    
46      115458276    63760969     70104595     122180517    95469967     110544346    
48      119907412    66228959     68834282     125839302    86641482     110946936    
52      75594092     49063152     47875774     110993783    88417031     74829340     
56      53433991     39284258     37316721     99192101     86447132     62482485     
60      47097903     31941992     32841381     88638920     80761164     56260022     
64      46455664     25121820     28845073     81433120     77331488     53335037     
