### ./bin/lpd48core/lf-ht_harris / params -i128 -r256 -u100 -l2 / keep median of reps 11 of dur 5000
# Result from 11 repetitions: median
#       ./bin/lpd48core/lf-ht_harris    
#cores  throughput  %linear scalability 
1       24850415    100.00  1           
2       9025575     18.16   0.36        
4       12299344    12.37   0.49        
6       15780046    10.58   0.64        
8       18845364    9.48    0.76        
10      21462284    8.64    0.86        
12      23578888    7.91    0.95        
14      25255431    7.26    1.02        
16      25499235    6.41    1.03        
18      26001288    5.81    1.05        
20      26894483    5.41    1.08        
22      27491005    5.03    1.11        
24      28603532    4.80    1.15        
26      28912864    4.47    1.16        
28      29517819    4.24    1.19        
30      29743392    3.99    1.20        
32      30412329    3.82    1.22        
34      31645535    3.75    1.27        
36      31628909    3.54    1.27        
38      31978015    3.39    1.29        
40      32051458    3.22    1.29        
42      32008292    3.07    1.29        
44      31235580    2.86    1.26        
46      31355556    2.74    1.26        
48      31102568    2.61    1.25        
52      29400028    2.28    1.18        
56      29859794    2.15    1.20        
60      29504328    1.98    1.19        
64      28886470    1.82    1.16        
