### params -i1024 -r2048 -u40 / keep median of reps 7 of dur 5000
# Result from 7 repetitions: median
#       lpd48corelf-ll_harris_opt_0 lpd48corelb-ll_lazy_0 lpd48corelb-ll_gl_0 lpd48corelb-ll_optik_gl_0 lpd48corelb-ll_optik_0 lpd48corelb-ll_optik_cache_0 lpd48corelb-ll_lazy_cache_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   throughput   
1       659275       888474       526887       882824       774610       1206735      1381208      
2       960630       1176201      767090       983643       1054541      1572165      1765359      
4       1633537      1925939      880179       1164549      1764659      2598816      2891373      
6       2283261      2632029      776030       1213833      2402565      3435737      3760738      
8       2847172      3232292      693122       1230989      2962522      4199484      4534413      
10      3387097      3832939      597063       1247793      3513327      4904088      5293845      
12      3869778      4304935      555747       1243298      4015109      5505012      5943660      
14      4286681      4768843      493330       1252579      4480664      6110164      6448698      
16      4727034      5150990      453348       1231257      4826093      6405233      7023124      
18      5108838      5578016      417335       1219046      5244289      7043430      7479784      
20      5321237      5567452      393999       1143265      5351977      6947587      7821533      
22      5693923      5727434      378028       1092710      5671223      7294508      7813576      
24      5524466      5919206      353499       1077085      5738936      7559650      8177226      
26      5601424      5878740      334101       1070139      5855661      7973683      8077087      
28      5968560      5963595      312206       1034008      6008244      7949753      8362429      
30      6013636      6336671      294914       981075       6092432      8086814      8066362      
32      6221972      6214037      281475       915696       6095548      7884282      8178484      
34      6132969      6369481      267475       902477       6196102      8151317      8332225      
36      6098452      6242528      251648       779516       6185329      8592521      8524777      
38      6223618      6039615      241622       722362       6126185      8549881      8367797      
40      6297277      6204753      232559       677120       6425157      8944964      8678767      
42      6207902      6302165      215113       606493       6125290      8844876      8438500      
44      6130960      6349660      211935       571950       6250827      8718488      8223605      
46      6040025      6254470      202275       535848       6391311      8748826      8664370      
48      6257735      6371929      188076       513513       6445883      8409513      8872865      
52      6291016      5951808      5339         509338       6360362      8796696      8076375      
56      6279802      5698558      4638         531832       6609906      8275366      7656152      
60      6148270      5322074      3539         519562       6213224      8115522      7210984      
64      5934450      4913534      3504         588196       6166144      7843893      6435521      
