### params -i128 -r256 -u100 / keep median of reps 11 of dur 5000
# Result from 11 repetitions: median
#       ./bin/lpd48core/lb-ll_lazy      ./bin/lpd48core/lb-ll_gl        ./bin/lpd48core/lb-ll_optik_gl  ./bin/lpd48core/lb-ll_optik     ./bin/lpd48core/lb-ll_optik_cache
#cores  throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability   harris
1       5614829     100.00  1           3267250     100.00  1           5688179     100.00  1           4392918     100.00  1           5734861     100.00  1             3940851     100.00  1           
2       4597420     40.94   0.82        1236508     18.92   0.38        3770910     33.15   0.66        4283375     48.75   0.98        4674066     40.75   0.82          4132071     52.43   1.05        
4       5409452     24.09   0.96        921959      7.05    0.28        3189641     14.02   0.56        4930890     28.06   1.12        5464621     23.82   0.95          5212266     33.07   1.32        
6       5308931     15.76   0.95        766106      3.91    0.23        2785780     8.16    0.49        5388696     20.44   1.23        5998394     17.43   1.05          5810613     24.57   1.47        
8       5418536     12.06   0.97        642951      2.46    0.20        2448678     5.38    0.43        5606528     15.95   1.28        6153176     13.41   1.07          5987967     18.99   1.52        
10      5555497     9.89    0.99        569649      1.74    0.17        2210426     3.89    0.39        5709205     13.00   1.30        6468735     11.28   1.13          6254617     15.87   1.59        
12      5650046     8.39    1.01        508103      1.30    0.16        1969322     2.89    0.35        5835722     11.07   1.33        6685086     9.71    1.17          6356002     13.44   1.61        
14      5769560     7.34    1.03        465926      1.02    0.14        1770083     2.22    0.31        5970597     9.71    1.36        6896143     8.59    1.20          6509761     11.80   1.65        
16      5855713     6.52    1.04        429418      0.82    0.13        1539738     1.69    0.27        6063723     8.63    1.38        7041495     7.67    1.23          6587856     10.45   1.67        
18      5927658     5.87    1.06        396284      0.67    0.12        1378769     1.35    0.24        6164764     7.80    1.40        7222228     7.00    1.26          6707464     9.46    1.70        
20      5939151     5.29    1.06        376095      0.58    0.12        1163552     1.02    0.20        6217890     7.08    1.42        7350719     6.41    1.28          6693598     8.49    1.70        
22      6015843     4.87    1.07        353482      0.49    0.11        986400      0.79    0.17        6273929     6.49    1.43        7476502     5.93    1.30          6823573     7.87    1.73        
24      6071802     4.51    1.08        332335      0.42    0.10        817561      0.60    0.14        6324118     6.00    1.44        7592673     5.52    1.32          6847281     7.24    1.74        
26      6129333     4.20    1.09        317742      0.37    0.10        674895      0.46    0.12        6390762     5.60    1.45        7724789     5.18    1.35          6880405     6.72    1.75        
28      6153751     3.91    1.10        303357      0.33    0.09        562454      0.35    0.10        6446698     5.24    1.47        7801048     4.86    1.36          6911713     6.26    1.75        
30      6210716     3.69    1.11        290185      0.30    0.09        493258      0.29    0.09        6463647     4.90    1.47        7927430     4.61    1.38          6910440     5.85    1.75        
32      6215119     3.46    1.11        277533      0.27    0.08        439022      0.24    0.08        6509343     4.63    1.48        7965229     4.34    1.39          6915659     5.48    1.75        
34      6232601     3.26    1.11        265992      0.24    0.08        407404      0.21    0.07        6533786     4.37    1.49        8105118     4.16    1.41          6935730     5.18    1.76        
36      6289677     3.11    1.12        255802      0.22    0.08        373125      0.18    0.07        6551838     4.14    1.49        8148745     3.95    1.42          6944695     4.90    1.76        
38      6319296     2.96    1.13        245805      0.20    0.08        345643      0.16    0.06        6612585     3.96    1.51        8252269     3.79    1.44          6957644     4.65    1.77        
40      6312576     2.81    1.12        235005      0.18    0.07        325390      0.14    0.06        6577440     3.74    1.50        8301016     3.62    1.45          6969893     4.42    1.77        
42      6340616     2.69    1.13        228724      0.17    0.07        304314      0.13    0.05        6588449     3.57    1.50        8375184     3.48    1.46          6957894     4.20    1.77        
44      6393538     2.59    1.14        218832      0.15    0.07        288571      0.12    0.05        6628472     3.43    1.51        8425034     3.34    1.47          6911627     3.99    1.75        
46      6376955     2.47    1.14        209672      0.14    0.06        276785      0.11    0.05        6635861     3.28    1.51        8482041     3.22    1.48          6920711     3.82    1.76        
48      6380288     2.37    1.14        199484      0.13    0.06        257481      0.09    0.05        6617536     3.14    1.51        8523421     3.10    1.49          6927693     3.66    1.76        
52      5583908     1.91    0.99        2521        0.00    0.00        256913      0.09    0.05        5963140     2.61    1.36        7612765     2.55    1.33          6928159     3.38    1.76        
56      4606035     1.46    0.82        1843        0.00    0.00        249935      0.08    0.04        5479720     2.23    1.25        6832718     2.13    1.19          6938359     3.14    1.76        
60      3836063     1.14    0.68        2405        0.00    0.00        239171      0.07    0.04        5073927     1.93    1.16        6647142     1.93    1.16          6925195     2.93    1.76        
64      2913321     0.81    0.52        1639        0.00    0.00        242126      0.07    0.04        4842897     1.72    1.10        6155266     1.68    1.07          6918935     2.74    1.76        
