### params -i4096 -r8192 -u10 / keep median of reps 5 of dur 2000
# Result from 5 repetitions: median
#       ./bin/lpd48core/lb-ll_lazy      ./bin/lpd48core/lb-ll_gl        ./bin/lpd48core/lb-ll_optik_gl  ./bin/lpd48core/lb-ll_optik     ./bin/lpd48core/lb-ll_optik_cache
#cores  throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability 
1       89914       100.00  1           63510       100.00  1           89378       100.00  1           88412       100.00  1           135254      100.00  1           
2       170024      94.55   1.89        119799      94.32   1.89        169992      95.10   1.90        164467      93.01   1.86        255768      94.55   1.89        
4       303575      84.41   3.38        226910      89.32   3.57        296943      83.06   3.32        295849      83.66   3.35        452582      83.65   3.35        
6       427126      79.17   4.75        261988      68.75   4.13        408116      76.10   4.57        420778      79.32   4.76        637626      78.57   4.71        
8       555452      77.22   6.18        291549      57.38   4.59        508820      71.16   5.69        541346      76.54   6.12        813552      75.19   6.01        
10      677158      75.31   7.53        313530      49.37   4.94        591142      66.14   6.61        665018      75.22   7.52        993084      73.42   7.34        
12      793364      73.53   8.82        323882      42.50   5.10        648438      60.46   7.26        780434      73.56   8.83        1163466     71.68   8.60        
14      916227      72.79   10.19       327182      36.80   5.15        670578      53.59   7.50        877710      70.91   9.93        1320036     69.71   9.76        
16      1018220     70.78   11.32       322120      31.70   5.07        664642      46.48   7.44        1000580     70.73   11.32       1467695     67.82   10.85       
18      1110944     68.64   12.36       311777      27.27   4.91        673859      41.89   7.54        1032601     64.89   11.68       1504071     61.78   11.12       
20      1234426     68.64   13.73       308881      24.32   4.86        664080      37.15   7.43        1190724     67.34   13.47       1742259     64.41   12.88       
22      1226219     61.99   13.64       300914      21.54   4.74        666630      33.90   7.46        1310324     67.37   14.82       1904041     63.99   14.08       
24      1429182     66.23   15.89       296970      19.48   4.68        684748      31.92   7.66        1348079     63.53   15.25       1854481     57.13   13.71       
26      1499598     64.15   16.68       294304      17.82   4.63        652238      28.07   7.30        1383848     60.20   15.65       2003646     56.98   14.81       
28      1653794     65.69   18.39       283232      15.93   4.46        584319      23.35   6.54        1534730     62.00   17.36       2259942     59.67   16.71       
30      1599233     59.29   17.79       276476      14.51   4.35        633177      23.61   7.08        1662784     62.69   18.81       2259709     55.69   16.71       
32      1741680     60.53   19.37       263848      12.98   4.15        561138      19.62   6.28        1778644     62.87   20.12       2454758     56.72   18.15       
34      1889848     61.82   21.02       254500      11.79   4.01        613764      20.20   6.87        1764874     58.71   19.96       2729190     59.35   20.18       
36      1943082     60.03   21.61       254040      11.11   4.00        564296      17.54   6.31        1907314     59.93   21.57       2475558     50.84   18.30       
38      1991529     58.29   22.15       241512      10.01   3.80        542870      15.98   6.07        1915686     57.02   21.67       2505598     48.75   18.53       
40      2065352     57.43   22.97       237780      9.36    3.74        549092      15.36   6.14        1966206     55.60   22.24       2666670     49.29   19.72       
42      2196410     58.16   24.43       227681      8.54    3.58        537776      14.33   6.02        2160307     58.18   24.43       2756722     48.53   20.38       
44      2299268     58.12   25.57       225646      8.07    3.55        519256      13.20   5.81        1991140     51.18   22.52       2758820     46.36   20.40       
46      2205420     53.32   24.53       200518      6.86    3.16        492320      11.97   5.51        2273952     55.91   25.72       3030402     48.71   22.41       
48      2281994     52.87   25.38       204330      6.70    3.22        503460      11.74   5.63        2127808     50.14   24.07       2937978     45.25   21.72       
48      2213718     51.29   24.62       206156      6.76    3.25        489147      11.40   5.47        2321870     54.71   26.26       2716110     41.84   20.08       
52      2112446     45.18   23.49       21705       0.66    0.34        482058      10.37   5.39        2009514     43.71   22.73       3223242     45.83   23.83       
56      2124454     42.19   23.63       14654       0.41    0.23        488756      9.77    5.47        2223208     44.90   25.15       2942127     38.84   21.75       
60      2199144     40.76   24.46       13388       0.35    0.21        498884      9.30    5.58        2338516     44.08   26.45       2871781     35.39   21.23       
64      1981850     34.44   22.04       12332       0.30    0.19        480400      8.40    5.37        2235451     39.51   25.28       2633598     30.42   19.47       
