### ./bin/lpd48core/lf-ll_harris_opt / params -i512 -r1024 -u50  / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       ./bin/lpd48core/lf-ll_harris_opt
#cores  throughput  %linear scalability 
1       1292443     100.00  1           
2       2045294     79.13   1.58        
4       3317936     64.18   2.57        
6       4038155     52.07   3.12        
8       4555394     44.06   3.52        
10      5076758     39.28   3.93        
12      5062510     32.64   3.92        
14      5457966     30.16   4.22        
16      6282727     30.38   4.86        
18      6496280     27.92   5.03        
20      6722941     26.01   5.20        
22      6873797     24.17   5.32        
24      7210063     23.24   5.58        
26      6894257     20.52   5.33        
28      6487483     17.93   5.02        
30      7501262     19.35   5.80        
32      7061111     17.07   5.46        
34      7592026     17.28   5.87        
36      7673076     16.49   5.94        
38      7793570     15.87   6.03        
40      7465579     14.44   5.78        
42      7838268     14.44   6.06        
44      7964397     14.01   6.16        
46      7769489     13.07   6.01        
48      7839426     12.64   6.07        
52      8125219     12.09   6.29        
56      7749868     10.71   6.00        
60      8147804     10.51   6.30        
64      7760562     9.38    6.00        
