### params -i1024 -r2048 -u20 / keep median of reps 11 of dur 5000
# Result from 11 repetitions: median
#       ./bin/lpd48core/lb-map          ./bin/lpd48core/lb-map_optik    
#cores  throughput  %linear scalability throughput  %linear scalability 
1       841614      100.00  1           1002661     100.00  1           
2       649338      38.58   0.77        1702004     84.87   1.70        
4       623685      18.53   0.74        2619904     65.32   2.61        
6       611550      12.11   0.73        3109495     51.69   3.10        
8       601091      8.93    0.71        3351572     41.78   3.34        
10      590185      7.01    0.70        3503662     34.94   3.49        
12      583411      5.78    0.69        3565653     29.63   3.56        
14      574018      4.87    0.68        3574617     25.47   3.57        
16      567252      4.21    0.67        3513373     21.90   3.50        
18      562712      3.71    0.67        3444832     19.09   3.44        
20      557059      3.31    0.66        3295422     16.43   3.29        
22      550503      2.97    0.65        3025001     13.71   3.02        
24      545363      2.70    0.65        2785340     11.57   2.78        
26      535940      2.45    0.64        2491045     9.56    2.48        
28      534406      2.27    0.63        2263935     8.06    2.26        
30      526247      2.08    0.63        2088026     6.94    2.08        
32      522888      1.94    0.62        1891884     5.90    1.89        
34      516391      1.80    0.61        1744528     5.12    1.74        
36      508798      1.68    0.60        1602155     4.44    1.60        
38      507922      1.59    0.60        1491511     3.91    1.49        
40      502226      1.49    0.60        1386446     3.46    1.38        
42      488967      1.38    0.58        1307350     3.10    1.30        
44      486283      1.31    0.58        1217735     2.76    1.21        
46      480977      1.24    0.57        1158144     2.51    1.16        
48      467549      1.16    0.56        1088888     2.26    1.09        
52      3012        0.01    0.00        1065748     2.04    1.06        
56      2547        0.01    0.00        1033139     1.84    1.03        
60      2427        0.00    0.00        1008903     1.68    1.01        
64      2116        0.00    0.00        984900      1.53    0.98        
