### params -i65534 -p60 / keep median of reps 11 of dur 5000
# Result from 11 repetitions: median
#       ././bin/lpd48core/lf-qu_ms      ./bin/lpd48core/lb-qu_ms        ./bin/lpd48core/lb-qu_optik0    ./bin/lpd48core/lb-qu_optik1    ./bin/lpd48core/lb-qu_optik2    ./bin/lpd48core/lb-qu_optik2a   ./bin/lpd48core/lb-qu_optik3    
#cores  throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability 
1       21123734    100.00  1           19975665    100.00  1           21293654    100.00  1           20678644    100.00  1           20425442    100.00  1           21736815    100.00  1           22688047    100.00  1           
2       13555892    32.09   0.64        2363530     5.92    0.12        2606090     6.12    0.12        4838018     11.70   0.23        13547120    33.16   0.66        13762469    31.66   0.63        6133842     13.52   0.27        
4       9925648     11.75   0.47        2666440     3.34    0.13        2636958     3.10    0.12        2617399     3.16    0.13        9200796     11.26   0.45        8213814     9.45    0.38        3580958     3.95    0.16        
6       8533304     6.73    0.40        2638733     2.20    0.13        2644571     2.07    0.12        2656776     2.14    0.13        8415452     6.87    0.41        7590934     5.82    0.35        3840166     2.82    0.17        
8       7815532     4.62    0.37        2590550     1.62    0.13        2544125     1.49    0.12        2599356     1.57    0.13        7779986     4.76    0.38        7211701     4.15    0.33        3635964     2.00    0.16        
10      7825590     3.70    0.37        2593038     1.30    0.13        2508808     1.18    0.12        2614333     1.26    0.13        7856474     3.85    0.38        7365193     3.39    0.34        3648298     1.61    0.16        
12      8032336     3.17    0.38        2585449     1.08    0.13        2086058     0.82    0.10        2586207     1.04    0.13        7952616     3.24    0.39        7677271     2.94    0.35        3569788     1.31    0.16        
14      8146852     2.75    0.39        2595041     0.93    0.13        1685227     0.57    0.08        2574321     0.89    0.12        8096226     2.83    0.40        7947688     2.61    0.37        3561409     1.12    0.16        
16      8387137     2.48    0.40        2611299     0.82    0.13        1388334     0.41    0.07        2575164     0.78    0.12        8270571     2.53    0.40        8281882     2.38    0.38        3313747     0.91    0.15        
18      8591105     2.26    0.41        2598111     0.72    0.13        1277618     0.33    0.06        2588400     0.70    0.13        8532319     2.32    0.42        8471485     2.17    0.39        3503375     0.86    0.15        
20      8734712     2.07    0.41        2601220     0.65    0.13        1173638     0.28    0.06        2590426     0.63    0.13        8703528     2.13    0.43        8741999     2.01    0.40        3424215     0.75    0.15        
22      8852430     1.90    0.42        2617436     0.60    0.13        1075008     0.23    0.05        2581413     0.57    0.12        8801158     1.96    0.43        8922038     1.87    0.41        3394932     0.68    0.15        
24      9015642     1.78    0.43        2588284     0.54    0.13        997210      0.20    0.05        2575475     0.52    0.12        8941337     1.82    0.44        9074966     1.74    0.42        3389215     0.62    0.15        
26      9156535     1.67    0.43        2607623     0.50    0.13        927734      0.17    0.04        2577401     0.48    0.12        9080339     1.71    0.44        9166863     1.62    0.42        3445490     0.58    0.15        
28      9316167     1.58    0.44        2597310     0.46    0.13        920569      0.15    0.04        2549775     0.44    0.12        9246297     1.62    0.45        9427273     1.55    0.43        3417140     0.54    0.15        
30      9471659     1.49    0.45        2577628     0.43    0.13        818670      0.13    0.04        2577196     0.42    0.12        9329333     1.52    0.46        9456165     1.45    0.44        3485604     0.51    0.15        
32      9514836     1.41    0.45        2558663     0.40    0.13        799091      0.12    0.04        2507073     0.38    0.12        9467257     1.45    0.46        9649644     1.39    0.44        3475359     0.48    0.15        
