### params -i16384 -r32768 -u40 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpd48corelf-sl_fraser_0 lpd48corelb-sl_herlihy_0 lpd48corelb-sl_optik2_0 lpd48corelb-sl_optik_0 lpd48corelb-sl_optik1_0 
#cores  throughput   throughput   throughput   throughput   throughput   
1       2893378      2881114      2856004      2931592      2871962      
2       3453141      4390656      4163009      4282811      4373196      
4       5832376      7550481      7080820      7230809      7298652      
6       7483856      10853152     9618296      10334475     10015687     
8       10001605     13053578     12088378     12240662     12097216     
10      10109380     15317532     13664653     14301774     14626893     
12      12037204     17274480     15786546     16535758     16041478     
14      11279536     18579502     17667598     18081663     17626360     
16      13525150     20969941     19023750     19235123     19062580     
18      14193874     21502125     20884048     20873311     20260238     
20      14780283     23652102     21860036     21620076     21251463     
22      15624721     25144402     22517916     22955030     22752615     
24      16319705     26135218     23375118     24279430     23757740     
26      15781045     27217178     24236674     24870179     24937907     
28      18943366     28209000     25761800     25200908     25089280     
30      16322450     29076543     26227552     26197198     26307125     
32      17268738     30015336     26845437     27266061     26890077     
34      19464742     29971020     26260623     28140053     27675066     
36      16774793     31290798     28285370     27428124     27527274     
38      17215541     32104750     28045009     28696828     28712520     
40      17549306     31943069     28094046     27101796     28486415     
42      20318204     31435340     29410550     29726832     25830736     
44      17405032     33326826     28981657     30269292     27923940     
46      15793954     30636008     28825834     29327787     30669436     
48      17146276     34895477     25399420     29525852     28912583     
52      15165684     29147396     25617608     28174118     29845348     
56      13367660     25337064     25295110     24388542     27241298     
60      12941274     24258173     23639560     25943964     26033266     
64      12596422     22930420     20383982     23441643     25208334     
