### params -i65536 -r131072 -u40 / keep median of reps 7 of dur 5000
# Result from 7 repetitions: median
#       lpd48corelf-sl_fraser_2 lpd48corelb-sl_herlihy_2 lpd48corelb-sl_optik_2 lpd48corelb-sl_optik1_2 lpd48corelb-sl_optik2_2 
#cores  throughput   throughput   throughput   throughput   throughput   
1       2593008      2829270      3008254      2974004      2861525      
2       3518766      4517012      4433906      4755237      4577765      
4       6352452      7684294      7797893      8038210      7671535      
6       8452475      10026830     10373791     10090888     9955285      
8       10459618     11994249     12540377     12462187     12074523     
10      11734469     13819330     14321747     14520276     14037163     
12      13279598     15320121     15896978     15978888     15453747     
14      14450926     16270148     16879562     17447785     16646047     
16      15245951     17153975     17793698     18292646     17328084     
18      15837025     17501213     18601668     19319346     17729619     
20      16186359     17352480     19062453     19863197     17378048     
22      16540924     16882065     19182892     20192640     16518872     
24      16631426     15565553     19210851     20398805     15521100     
26      16617664     14305310     19168268     20475885     13741946     
28      16512727     12743904     18884035     20468415     12740367     
30      16966828     11254189     18559798     20415305     11482875     
32      16817284     9900554      18149695     20318711     10264279     
34      16781484     8875825      17746728     20254583     9449625      
36      16522549     7894380      17380806     19970713     8671090      
38      16234933     7054134      17034525     19856951     8046940      
40      15937770     6348168      16690712     19632577     7429471      
42      15648443     5730243      16287176     19533741     6947396      
44      15432180     5238985      15956044     19296250     6559245      
46      15142012     4941275      15660427     18963043     6199613      
48      14841856     4621851      15229582     18859485     5887068      
52      14648605     3844640      12616896     16661152     5255805      
56      14483450     3213357      10431829     14868249     4707307      
60      14333215     2739757      9241441      13469937     4326014      
64      14320971     2336178      8363609      12552576     3943773      
