### params -i8192 -r16384 -u1 / keep median of reps 7 of dur 3000
# Result from 7 repetitions: median
#       ./bin/lb-sl_herlihy             ./bin/lb-sl_optik               ./bin/lb-sl_optik1              ./bin/lb-sl_optik2              
#cores  throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability 
1       3972767     100.00  1           4068343     100.00  1           4156191     100.00  1           4155778     100.00  1           
2       7861898     98.95   1.98        8046370     98.89   1.98        8195397     98.59   1.97        8161957     98.20   1.96        
4       14819269    93.26   3.73        15215967    93.50   3.74        15396525    92.61   3.70        15362636    92.42   3.70        
6       20966122    87.96   5.28        21353343    87.48   5.25        21558628    86.45   5.19        21501883    86.23   5.17        
8       26826281    84.41   6.75        27295164    83.86   6.71        27697891    83.30   6.66        27563274    82.91   6.63        
10      32064983    80.71   8.07        32333426    79.48   7.95        32805304    78.93   7.89        32588012    78.42   7.84        
12      37511897    78.69   9.44        37820383    77.47   9.30        38464808    77.12   9.25        38347560    76.90   9.23        
14      42331109    76.11   10.66       42774750    75.10   10.51       43136244    74.13   10.38       43050054    73.99   10.36       
16      46823014    73.66   11.79       47305090    72.67   11.63       47763561    71.83   11.49       47805571    71.90   11.50       
18      51884119    72.56   13.06       52296516    71.41   12.85       52703738    70.45   12.68       52702373    70.45   12.68       
20      55643334    70.03   14.01       55879281    68.68   13.74       56346757    67.79   13.56       56262977    67.69   13.54       
22      60987402    69.78   15.35       61120744    68.29   15.02       61783547    67.57   14.87       61794156    67.59   14.87       
24      73848670    77.45   18.59       74009231    75.80   18.19       64858294    65.02   15.61       64761211    64.93   15.58       
26      79264351    76.74   19.95       69811908    66.00   17.16       79937999    73.97   19.23       70109732    64.89   16.87       
28      82221897    73.92   20.70       
