### ./bin/lpd48core/lf-sl_fraser / params -i512 -r1024 -u50  / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       ./bin/lpd48core/lf-sl_fraser    
#cores  throughput  %linear scalability 
1       5365963     100.00  1           
2       5598196     52.16   1.04        
4       8172808     38.08   1.52        
6       10226158    31.76   1.91        
8       11704316    27.27   2.18        
10      12295635    22.91   2.29        
12      13303686    20.66   2.48        
14      13724366    18.27   2.56        
16      14162384    16.50   2.64        
18      14600678    15.12   2.72        
20      14759967    13.75   2.75        
22      14474252    12.26   2.70        
24      14331214    11.13   2.67        
26      14689988    10.53   2.74        
28      14857568    9.89    2.77        
30      14748588    9.16    2.75        
32      14713182    8.57    2.74        
34      14316614    7.85    2.67        
36      14287616    7.40    2.66        
38      14024894    6.88    2.61        
40      14144136    6.59    2.64        
42      13784704    6.12    2.57        
44      13774008    5.83    2.57        
46      13435494    5.44    2.50        
48      13155950    5.11    2.45        
52      12536238    4.49    2.34        
56      11934394    3.97    2.22        
60      11974267    3.72    2.23        
64      11868740    3.46    2.21        
