### params -i65534 -p60 / keep median of reps 3 of dur 5000
# Result from 3 repetitions: median
#       ././bin/lpd48core/lf-st_treiber ./bin/lpd48core/lb-st_lock      ./bin/lpd48core/lb-st_optik     ./bin/lpd48core/lb-st_lock_tas  
#cores  throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability 
1       22276760    100.00  1           21904211    100.00  1           19710594    100.00  1           27797584    100.00  1           
2       9802469     22.00   0.44        1595435     3.64    0.07        9425469     23.91   0.48        5702635     10.26   0.21        
4       4148268     4.66    0.19        1555751     1.78    0.07        4084098     5.18    0.21        2659969     2.39    0.10        
6       2505100     1.87    0.11        1502776     1.14    0.07        2461906     2.08    0.12        1988696     1.19    0.07        
8       2043443     1.15    0.09        1496806     0.85    0.07        1943288     1.23    0.10        1638504     0.74    0.06        
10      1869297     0.84    0.08        1481583     0.68    0.07        1602734     0.81    0.08        1388259     0.50    0.05        
12      1662930     0.62    0.07        1479016     0.56    0.07        1475670     0.62    0.07        1201782     0.36    0.04        
14      1581956     0.51    0.07        1464216     0.48    0.07        1297928     0.47    0.07        1023958     0.26    0.04        
16      1420167     0.40    0.06        1444473     0.41    0.07        1137557     0.36    0.06        934757      0.21    0.03        
18      1259355     0.31    0.06        1429481     0.36    0.07        1068970     0.30    0.05        836501      0.17    0.03        
20      1131023     0.25    0.05        1379632     0.31    0.06        973931      0.25    0.05        759983      0.14    0.03        
22      1083927     0.22    0.05        1418252     0.29    0.06        890596      0.21    0.05        665294      0.11    0.02        
24      911352      0.17    0.04        1448542     0.28    0.07        781241      0.17    0.04        633648      0.09    0.02        
26      823588      0.14    0.04        1453852     0.26    0.07        663774      0.13    0.03        581198      0.08    0.02        
28      696673      0.11    0.03        1423319     0.23    0.06        596233      0.11    0.03        543207      0.07    0.02        
30      646772      0.10    0.03        1455731     0.22    0.07        519762      0.09    0.03        502795      0.06    0.02        
32      551241      0.08    0.02        1431412     0.20    0.07        452249      0.07    0.02        468473      0.05    0.02        
34      514811      0.07    0.02        1451042     0.19    0.07        400512      0.06    0.02        440216      0.05    0.02        
36      432291      0.05    0.02        1436446     0.18    0.07        367366      0.05    0.02        403259      0.04    0.01        
38      408271      0.05    0.02        1402129     0.17    0.06        338271      0.05    0.02        369097      0.03    0.01        
40      357643      0.04    0.02        1391692     0.16    0.06        317523      0.04    0.02        343192      0.03    0.01        
42      329772      0.04    0.01        1390966     0.15    0.06        302614      0.04    0.02        325717      0.03    0.01        
44      307582      0.03    0.01        1401894     0.15    0.06        290411      0.03    0.01        303537      0.02    0.01        
46      283006      0.03    0.01        1347228     0.13    0.06        271235      0.03    0.01        292285      0.02    0.01        
48      266784      0.02    0.01        1356103     0.13    0.06        259194      0.03    0.01        271966      0.02    0.01        
52      264529      0.02    0.01        5255        0.00    0.00        243253      0.02    0.01        235847      0.02    0.01        
56      265337      0.02    0.01        4676        0.00    0.00        226992      0.02    0.01        204188      0.01    0.01        
60      272131      0.02    0.01        6288        0.00    0.00        228690      0.02    0.01        186594      0.01    0.01        
64      271845      0.02    0.01        3781        0.00    0.00        213484      0.02    0.01        158524      0.01    0.01        
