### params -i16384 -r32768 -u40 / keep median of reps 11 of dur 10000
# Result from 11 repetitions: median
#       lpdxeon2680lb-bst_bronson_0 lpdxeon2680lf-bst-aravind_0 lpdxeon2680lb-bst_tk_0 
#cores  throughput   throughput   throughput   
1       4519369      4885265      5412825      
2       6417743      9190300      10096438     
4       12327050     14681338     15875809     
6       17816191     21178883     22892369     
8       23041317     27620610     29051353     
10      27677336     33978888     36504101     
12      32296771     40398589     43028130     
14      37536470     46205188     49641328     
16      42451030     52201773     56036290     
18      46895186     56882347     61488874     
20      50173882     62565684     66536848     
22      53787023     67616038     73513842     
24      57154867     72478021     76361009     
26      60284766     77108854     82525333     
28      62951844     81684018     85136960     
30      65448139     86085610     89919202     
32      68567836     89998201     94780370     
34      71186173     94620255     98747965     
36      74170292     98534969     102758191    
38      77246278     102372580    105854177    
40      78870995     105955480    110284969    
44      58818859     100520120    98898208     
48      49865526     96447219     96276946     
52      43755728     94058520     93686968     
56      39671373     91992782     90918557     
60      36257244     87687793     86698699     
