### params -i512 -r1024 -u50 -l2 / keep median of reps 11 of dur 5000
# Result from 11 repetitions: median
#       ./bin/lpdxeon2680/lb-ht_lazy_gl ./bin/lpdxeon2680/lb-ht_java    ./bin/lpdxeon2680/lb-ht_java_optik./bin/lpdxeon2680/lb-ht_optik0  ./bin/lpdxeon2680/lb-ht_optik1  ./bin/lpdxeon2680/lb-ht_map     
#cores  throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability 
1       29722771    100.00  1           40677177    100.00  1           39971753    100.00  1           28909889    100.00  1           32516650    100.00  1           44587631    100.00  1           
2       34059621    57.30   1.15        28381815    34.89   0.70        46734784    58.46   1.17        41060434    71.01   1.42        36899242    56.74   1.13        37208873    41.73   0.83        
4       45726160    38.46   1.54        48032349    29.52   1.18        47936443    29.98   1.20        42037206    36.35   1.45        49044634    37.71   1.51        40346426    22.62   0.90        
6       61601635    34.54   2.07        67876038    27.81   1.67        68662312    28.63   1.72        59815715    34.48   2.07        66965028    34.32   2.06        47739668    17.84   1.07        
8       75912043    31.93   2.55        87239696    26.81   2.14        89039550    27.84   2.23        78554493    33.97   2.72        86658958    33.31   2.67        53361505    14.96   1.20        
10      89838628    30.23   3.02        108606743   26.70   2.67        109044780   27.28   2.73        95632577    33.08   3.31        104454133   32.12   3.21        55298029    12.40   1.24        
12      101578800   28.48   3.42        125972477   25.81   3.10        121898041   25.41   3.05        111617310   32.17   3.86        120209658   30.81   3.70        54040547    10.10   1.21        
14      110871333   26.64   3.73        137361670   24.12   3.38        139515959   24.93   3.49        122026734   30.15   4.22        132153241   29.03   4.06        53329670    8.54    1.20        
16      114289308   24.03   3.85        148463177   22.81   3.65        151121796   23.63   3.78        130314202   28.17   4.51        142050898   27.30   4.37        52490672    7.36    1.18        
18      120519366   22.53   4.05        164856680   22.52   4.05        163318534   22.70   4.09        148033649   28.45   5.12        156073293   26.67   4.80        53269826    6.64    1.19        
20      124788437   20.99   4.20        173480872   21.32   4.26        175260308   21.92   4.38        154632428   26.74   5.35        164084307   25.23   5.05        52748187    5.92    1.18        
22      130188374   19.91   4.38        183984788   20.56   4.52        187218961   21.29   4.68        164448210   25.86   5.69        173478692   24.25   5.34        50935491    5.19    1.14        
24      135776695   19.03   4.57        193071765   19.78   4.75        194061459   20.23   4.85        173416564   24.99   6.00        182042624   23.33   5.60        51966494    4.86    1.17        
26      140299902   18.15   4.72        201402203   19.04   4.95        202509923   19.49   5.07        181035249   24.08   6.26        189273694   22.39   5.82        53362053    4.60    1.20        
28      145117460   17.44   4.88        208162020   18.28   5.12        207568366   18.55   5.19        188347207   23.27   6.51        196168577   21.55   6.03        54932512    4.40    1.23        
30      149716843   16.79   5.04        213792483   17.52   5.26        214193308   17.86   5.36        193895413   22.36   6.71        202200203   20.73   6.22        57172811    4.27    1.28        
32      154956239   16.29   5.21        220019727   16.90   5.41        221494743   17.32   5.54        200039797   21.62   6.92        207747981   19.97   6.39        59491089    4.17    1.33        
34      159056420   15.74   5.35        227462765   16.45   5.59        227782817   16.76   5.70        207205950   21.08   7.17        213482800   19.31   6.57        60426975    3.99    1.36        
36      162208440   15.16   5.46        232657988   15.89   5.72        232448409   16.15   5.82        212382449   20.41   7.35        219555022   18.76   6.75        62644980    3.90    1.40        
38      167036454   14.79   5.62        238573744   15.43   5.87        239928693   15.80   6.00        218331565   19.87   7.55        225960771   18.29   6.95        64211590    3.79    1.44        
40      166589049   14.01   5.60        240153131   14.76   5.90        238293766   14.90   5.96        220185953   19.04   7.62        228595774   17.58   7.03        65861993    3.69    1.48        
44      77440487    5.92    2.61        102144770   5.71    2.51        109414830   6.22    2.74        90508727    7.12    3.13        103628759   7.24    3.19        43225444    2.20    0.97        
48      58711843    4.12    1.98        86936163    4.45    2.14        96882777    5.05    2.42        73648545    5.31    2.55        87318970    5.59    2.69        34017412    1.59    0.76        
52      52864604    3.42    1.78        79551840    3.76    1.96        82279252    3.96    2.06        64302621    4.28    2.22        77452486    4.58    2.38        29625779    1.28    0.66        
56      49439106    2.97    1.66        70166136    3.08    1.72        75378963    3.37    1.89        59103752    3.65    2.04        69382849    3.81    2.13        26155424    1.05    0.59        
60      44430052    2.49    1.49        59856501    2.45    1.47        64226677    2.68    1.61        49835446    2.87    1.72        61979998    3.18    1.91        24593117    0.92    0.55        
