### params -i65536 -r131072 -u / keep median of reps 7 of dur 5000
# Result from 7 repetitions: median
#       lpdxeon2680lb-ht_lazy_gl_0 lpdxeon2680lb-ht_java_0 lpdxeon2680lb-ht_java_optik_0 lpdxeon2680lb-ht_optik0_0 lpdxeon2680lb-ht_optik1_0 lpdxeon2680lb-ht_map_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   
1       30110091     43515879     44529076     31097954     43536830     51841499     
2       60174302     87287054     89455364     62612783     87993117     103637387    
4       120403696    175821859    177084235    124083717    176084109    207080554    
6       180082169    260734625    268970467    186773156    262115718    310654155    
8       232928978    332038116    334169035    230438973    350705737    391860086    
10      300244891    432817338    434792851    291613685    437176686    495000197    
12      358740637    507706819    529147467    368375955    500626219    607774014    
14      400847456    590903089    599259197    426653803    585433772    693272813    
16      440930362    667065297    663285558    472651943    641482198    764407116    
18      497926314    739130740    761773668    523367935    750200698    894275892    
20      558019205    813435373    822456171    578336182    792603216    963416648    
22      612811153    864965809    903678778    629943211    883635239    1042215009   
24      634485643    939969228    957014829    662667001    926857704    1107389659   
26      653129137    978675565    984577364    676755130    978787712    1151990684   
28      674200642    1008103655   1026135434   707963309    1013168038   1192543855   
30      701934112    1042284826   1049228378   731085779    1039292955   1240939674   
32      717134335    1087719825   1098630151   751098041    1089147042   1278490531   
34      749616156    1106666933   1133289104   778703124    1124357176   1324002612   
36      768966485    1154938216   1167089832   804601191    1161050678   1363012696   
38      777142567    1195981949   1207303270   826502600    1198118959   1406518152   
40      806161251    1220305051   1234688249   849905700    1237832487   1449089234   
44      817023107    1232600913   1242836482   846605391    1232317795   1455990339   
48      814768254    1242521290   1246173284   851219016    1246375686   1457628569   
52      810642962    1237674382   1262066664   855914084    1249201894   1460224640   
56      821679223    1244889958   1259051507   834753729    1255731741   1473336480   
60      825239359    1237879355   1240211925   865299356    1257053696   1478026209   
