### params -i65536 -r131072 -u40 / keep median of reps 7 of dur 5000
# Result from 7 repetitions: median
#       lpdxeon2680lb-ht_lazy_gl_0 lpdxeon2680lb-ht_java_0 lpdxeon2680lb-ht_java_optik_0 lpdxeon2680lb-ht_optik0_0 lpdxeon2680lb-ht_optik1_0 lpdxeon2680lb-ht_map_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   
1       22784195     35274827     35239032     22858661     31631826     37271669     
2       43301407     54259927     49994424     31978646     33374551     41675308     
4       62969946     58822968     54594521     49206859     68378189     85156760     
6       85052810     78960375     77617663     73483942     98300277     121029420    
8       107979023    97246594     96791684     99380371     131058819    162932331    
10      138230346    116724669    116350952    119198058    160218212    197758267    
12      161538982    134220967    135319698    141521660    190028945    238964050    
14      187084672    152312849    149888713    160789748    211224163    275265765    
16      207829289    163137590    172860528    186467317    238196253    304765678    
18      230430120    179217175    182879766    199188755    259933135    337680002    
20      238260873    190030406    195073153    219699034    283823379    367160655    
22      260896540    204579405    206830564    237942966    300657336    390844105    
24      273649092    213492128    214866267    247018460    315236962    418862185    
26      282781521    221008570    223521039    255774310    322079642    435513169    
28      291431828    227759605    230273699    265474107    332902670    452271946    
30      296845139    233120782    235264588    271139416    345608915    467766059    
32      305235939    240231729    241438131    282410353    354100414    484787603    
34      312167237    246790541    247271128    289025228    362941505    497221353    
36      318219443    252888038    255382917    297686215    368798568    512305536    
38      324804765    258070862    260485165    304958288    380924682    523869693    
40      332451834    263435616    257809687    314179822    383468738    535804752    
44      162479247    106636652    114323557    270276415    325206671    332992311    
48      100002587    111401472    122203433    254965258    302235807    287325595    
52      66889719     92585282     104288379    242063856    288046756    264110525    
56      43379959     84654711     92741243     222467618    236812768    246325084    
60      33020234     75935225     84037472     195228302    211748908    233284132    
