### params -i8192 -r16384 -u1 / keep median of reps 5 of dur 5000
# Result from 5 repetitions: median
#       ./bin/lpdxeon2680/lb-ht_lazy_gl ./bin/lpdxeon2680/lb-ht_java    ./bin/lpdxeon2680/lb-ht_java_optik./bin/lpdxeon2680/lb-ht_optik0  ./bin/lpdxeon2680/lb-ht_optik1  
#cores  throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability 
1       34474266    100.00  1           56864418    100.00  1           55644977    100.00  1           34098755    100.00  1           44237861    100.00  1           
2       66478901    96.42   1.93        99612971    87.59   1.75        109237471   98.16   1.96        64292141    94.27   1.89        82963822    93.77   1.88        
4       131673862   95.49   3.82        195440243   85.92   3.44        192254043   86.38   3.46        127638503   93.58   3.74        164664063   93.06   3.72        
6       193999980   93.79   5.63        283106555   82.98   4.98        284071262   85.08   5.11        190846931   93.28   5.60        245114676   92.35   5.54        
8       260552803   94.47   7.56        367293032   80.74   6.46        364287632   81.83   6.55        252546879   92.58   7.41        324567288   91.71   7.34        
10      322060189   93.42   9.34        460467144   80.98   8.10        456075182   81.96   8.20        312078263   91.52   9.15        401453016   90.75   9.07        
12      367982641   88.95   10.67       533822820   78.23   9.39        527941799   79.06   9.49        354507651   86.64   10.40       477924563   90.03   10.80       
14      431732581   89.45   12.52       621286456   78.04   10.93       615097845   78.96   11.05       417143866   87.38   12.23       548441895   88.55   12.40       
16      499745964   90.60   14.50       664140263   73.00   11.68       672705953   75.56   12.09       476925903   87.42   13.99       590996230   83.50   13.36       
18      546241759   88.03   15.84       734490680   71.76   12.92       710283088   70.91   12.76       526455345   85.77   15.44       684720557   85.99   15.48       
20      601538185   87.24   17.45       803323372   70.63   14.13       794935495   71.43   14.29       573342167   84.07   16.81       756459769   85.50   17.10       
22      624854013   82.39   18.13       854780613   68.33   15.03       825858939   67.46   14.84       594631836   79.27   17.44       773162434   79.44   17.48       
24      672490950   81.28   19.51       863275256   63.26   15.18       848996706   63.57   15.26       650017511   79.43   19.06       829600317   78.14   18.75       
26      690703431   77.06   20.04       930664100   62.95   16.37       916078558   63.32   16.46       661422866   74.60   19.40       854841548   74.32   19.32       
28      716506853   74.23   20.78       956442944   60.07   16.82       947409305   60.81   17.03       682963666   71.53   20.03       873808073   70.54   19.75       
30      732141874   70.79   21.24       985049822   57.74   17.32       978054608   58.59   17.58       698418561   68.27   20.48       901381055   67.92   20.38       
32      749243505   67.92   21.73       998663061   54.88   17.56       1003282820  56.34   18.03       707282074   64.82   20.74       925872858   65.40   20.93       
34      762890793   65.09   22.13       1029983735  53.27   18.11       1027676745  54.32   18.47       721554718   62.24   21.16       945059397   62.83   21.36       
36      781663872   62.98   22.67       1048508119  51.22   18.44       1029968122  51.42   18.51       735652054   59.93   21.57       954847605   59.96   21.58       
38      801660111   61.19   23.25       1051465296  48.66   18.49       1055140119  49.90   18.96       752088621   58.04   22.06       981684713   58.40   22.19       
40      823837434   59.74   23.90       1059519160  46.58   18.63       1065874923  47.89   19.15       758776053   55.63   22.25       991584418   56.04   22.41       
44      807710272   53.25   23.43       990493984   39.59   17.42       995075460   40.64   17.88       752978688   50.19   22.08       971267737   49.90   21.96       
48      801588999   48.44   23.25       915001949   33.52   16.09       936661893   35.07   16.83       747654502   45.68   21.93       931295602   43.86   21.05       
52      798391596   44.54   23.16       860484104   29.10   15.13       901625545   31.16   16.20       736226209   41.52   21.59       929830821   40.42   21.02       
56      777238122   40.26   22.55       806119393   25.31   14.18       874946737   28.08   15.72       728195535   38.13   21.36       910153665   36.74   20.57       
60      771343975   37.29   22.37       782095184   22.92   13.75       860070937   25.76   15.46       716224099   35.01   21.00       900612993   33.93   20.36       
