### params -i8192 -r16384 -u40 / keep median of reps 7 of dur 5000
# Result from 7 repetitions: median
#       lazy_gl_0    java_0       java_optik_0 optik0_0     optik1_0     map_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   
1       26854070     41418057     41315314     25545613     32403019     39902927     
2       45021320     29124856     52887878     35468800     34487277     65991094     
4       65204853     55591361     60974206     53772832     68533443     84580731     
6       90004506     79352921     79359538     75401053     98898675     124188176    
8       117890894    99856222     99123566     100025265    130065411    153490363    
10      144306344    118603804    118955158    122236647    151808103    200432580    
12      171532140    138979459    135888337    146457046    167854787    236131786    
14      190690797    154691735    152038100    169637442    206427996    274588878    
16      215467590    166006545    167529831    184383633    228382350    313758116    
18      240097148    179755179    181065841    200853419    260063912    326794429    
20      252270438    194295956    194856152    228610136    268100691    368165554    
22      266966994    207398510    206674654    244473748    290616420    391591335    
24      290164546    214075754    214173777    252720854    307666429    412919671    
26      299169971    221488470    222902966    264786841    316847683    437532895    
28      307833367    229161180    231240313    274171070    327486684    453800186    
30      316775959    235730927    235761807    283617283    337566888    470197277    
32      324616727    242387281    243083824    292729812    346172155    484034443    
34      333190177    249436742    250174362    301692761    355791472    504988667    
36      337235193    255315357    255113328    310172167    364100671    518659315    
38      346296954    260477482    261854476    319034525    369370404    535240642    
40      351529192    262441558    258997480    327571327    381942354    544941287    
44      103442847    99658764     115223725    233029657    272971327    272421525    
48      75151316     111261785    120133640    190452317    212668151    209901899    
52      64843153     95687887     107299342    158183262    169828980    178666280    
56      56279531     85521970     94341585     131182196    145506568    170356046    
60      53054731     75692828     85250339     119323156    128352763    158441388    
