### ./bin/lpdxeon2680/lf-ht_harris / params -i128 -r256 -u100 -l2 / keep median of reps 11 of dur 5000
# Result from 11 repetitions: median
#       ./bin/lpdxeon2680/lf-ht_harris  
#cores  throughput  %linear scalability 
1       33147147    100.00  1           
2       17736902    26.75   0.54        
4       29476855    22.23   0.89        
6       38332370    19.27   1.16        
8       45083402    17.00   1.36        
10      50280288    15.17   1.52        
12      53139943    13.36   1.60        
14      55734248    12.01   1.68        
16      61581045    11.61   1.86        
18      64170497    10.76   1.94        
20      65397868    9.86    1.97        
22      66550353    9.13    2.01        
24      69904297    8.79    2.11        
26      73181377    8.49    2.21        
28      76773301    8.27    2.32        
30      80075718    8.05    2.42        
32      83709196    7.89    2.53        
34      86893917    7.71    2.62        
36      90039033    7.55    2.72        
38      93144521    7.39    2.81        
40      96012766    7.24    2.90        
44      89098219    6.11    2.69        
48      84576611    5.32    2.55        
52      82256632    4.77    2.48        
56      80567498    4.34    2.43        
60      79300943    3.99    2.39        
