### params -i64 -r128 -u40 / keep median of reps 11 of dur 10000
# Result from 11 repetitions: median
#       ./bin/lpdxeon2680/lf-ll_harris_opt_2./bin/lpdxeon2680/lb-ll_lazy_2  ./bin/lpdxeon2680/lb-ll_gl_2    ./bin/lpdxeon2680/lb-ll_optik_gl_2./bin/lpdxeon2680/lb-ll_optik_2 ./bin/lpdxeon2680/lb-ll_optik_cache_2./bin/lpdxeon2680/lb-ll_lazy_cache_2
#cores  throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability 
1       6464544     100.00  1           8682333     100.00  1           6608414     100.00  1           8749323     100.00  1           7788622     100.00  1           11652076    100.00  1           12513404    100.00  1           
2       11576381    89.54   1.79        8605635     49.56   0.99        3689982     27.92   0.56        9650258     55.15   1.10        8373865     53.76   1.08        10165239    43.62   0.87        20319656    81.19   1.62        
6       14376384    37.06   2.22        13439207    25.80   1.55        3601588     9.08    0.55        7003938     13.34   0.80        13585287    29.07   1.74        16962601    24.26   1.46        16875168    22.48   1.35        
10      17225583    26.65   2.66        15044674    17.33   1.73        3707084     5.61    0.56        6596318     7.54    0.75        16477484    21.16   2.12        20085746    17.24   1.72        17989863    14.38   1.44        
14      20650975    22.82   3.19        15751901    12.96   1.81        3756302     4.06    0.57        7356741     6.01    0.84        19902432    18.25   2.56        23036327    14.12   1.98        16500826    9.42    1.32        
18      22874895    19.66   3.54        15058335    9.64    1.73        3762354     3.16    0.57        7648910     4.86    0.87        22280332    15.89   2.86        25575429    12.19   2.19        14933040    6.63    1.19        
22      24608392    17.30   3.81        14058496    7.36    1.62        3904566     2.69    0.59        8191923     4.26    0.94        24095888    14.06   3.09        27427311    10.70   2.35        14091952    5.12    1.13        
26      25475737    15.16   3.94        13388587    5.93    1.54        3894706     2.27    0.59        8789821     3.86    1.00        25188967    12.44   3.23        29110708    9.61    2.50        13902628    4.27    1.11        
30      26702951    13.77   4.13        13112078    5.03    1.51        3738482     1.89    0.57        8756276     3.34    1.00        26272101    11.24   3.37        30106785    8.61    2.58        13848420    3.69    1.11        
34      27950527    12.72   4.32        12819878    4.34    1.48        3385278     1.51    0.51        8886457     2.99    1.02        28092317    10.61   3.61        31162740    7.87    2.67        13681240    3.22    1.09        
38      28859429    11.75   4.46        12565710    3.81    1.45        3240287     1.29    0.49        9319359     2.80    1.07        28879624    9.76    3.71        32546420    7.35    2.79        13627913    2.87    1.09        
45      28815500    9.91    4.46        7641581     1.96    0.88        6818        0.00    0.00        8665727     2.20    0.99        24170309    6.90    3.10        27422670    5.23    2.35        7537810     1.34    0.60        
50      28390544    8.78    4.39        4443180     1.02    0.51        9905        0.00    0.00        8422674     1.93    0.96        22099618    5.67    2.84        24676317    4.24    2.12        4241162     0.68    0.34        
55      27832750    7.83    4.31        2740535     0.57    0.32        5913        0.00    0.00        8217228     1.71    0.94        19990260    4.67    2.57        22369078    3.49    1.92        2521246     0.37    0.20        
60      27317505    7.04    4.23        1853538     0.36    0.21        6977        0.00    0.00        7908950     1.51    0.90        18771310    4.02    2.41        21052167    3.01    1.81        1614451     0.22    0.13        
