### params -i8192 -r16384 -u40 / keep median of reps 1 of dur 2000
# Result from 1 repetitions: median
#       lpdxeon2680lf-ll_harris_opt_0 lpdxeon2680lb-ll_lazy_0 lpdxeon2680lb-ll_gl_0 lpdxeon2680lb-ll_optik_gl_0 lpdxeon2680lb-ll_optik_0 lpdxeon2680lb-ll_optik_cache_0 lpdxeon2680lb-ll_lazy_cache_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   throughput   
1       30620        26498        19341        32356        33096        49660        47738        
2       55950        58804        32765        54750        50240        82134        87141        
4       100373       98992        43804        78770        104053       156451       156740       
6       131250       142297       43167        79348        136404       200888       203986       
8       160682       168160       42330        75900        161819       240962       247247       
10      189085       198898       41535        76100        192470       288564       298188       
12      216909       231808       40496        73926        209108       318612       325216       
14      239850       244566       40540        72248        237532       371040       361560       
16      262888       268406       39423        72463        254424       395474       388984       
18      283418       315636       39393        69873        284818       423367       427935       
20      301106       311784       39442        71243        305168       477332       495170       
22      314579       353556       38569        68604        328142       495404       504737       
24      339282       367372       38897        69214        351386       514028       561172       
26      369108       379920       36462        67663        357363       549676       580533       
28      388397       385632       37036        69293        376046       580162       600414       
30      409984       419216       38455        65466        420800       584058       686670       
32      401797       440903       37492        67582        411040       601452       662610       
34      453887       454080       37644        65698        425121       652866       682970       
36      429330       481840       35479        64579        446746       646380       693070       
38      471310       485902       36990        63410        445878       644798       718072       
40      489399       523774       35864        63766        459665       675154       695525       
44      450522       472256       3462         61002        453820       669180       706441       
48      468279       458442       3116         58784        435498       653705       650588       
52      454670       465664       2236         59389        428343       623370       685827       
56      422308       458641       2342         57708        414995       649306       671479       
60      446102       452251       1246         62684        461282       591937       686260       
