### ./bin/lpdxeon2680/lf-ll_harris_opt / params -i4096 -r8192 -u10  / keep median of reps 11 of dur 5000
# Result from 11 repetitions: median
#       ./bin/lpdxeon2680/lf-ll_harris_opt
#cores  throughput  %linear scalability 
1       71944       100.00  1           
2       117936      81.96   1.64        
4       222921      77.46   3.10        
6       325678      75.45   4.53        
8       427400      74.26   5.94        
10      522988      72.69   7.27        
12      605744      70.16   8.42        
14      686707      68.18   9.55        
16      775687      67.39   10.78       
18      850166      65.65   11.82       
20      925887      64.35   12.87       
22      999631      63.16   13.89       
24      1072014     62.09   14.90       
26      1159203     61.97   16.11       
28      1222031     60.66   16.99       
30      1284064     59.49   17.85       
32      1331124     57.82   18.50       
34      1400764     57.27   19.47       
36      1453003     56.10   20.20       
38      1540342     56.34   21.41       
40      1584648     55.07   22.03       
44      1503037     47.48   20.89       
48      1496034     43.32   20.79       
52      1424996     38.09   19.81       
56      1455531     36.13   20.23       
60      1405640     32.56   19.54       
