### params -i1024 -r2048 -u20 / keep median of reps 11 of dur 5000
# Result from 11 repetitions: median
#       ./bin/lpdxeon2680/lb-map        ./bin/lpdxeon2680/lb-map_optik  
#cores  throughput  %linear scalability throughput  %linear scalability 
1       1656676     100.00  1           1686974     100.00  1           
2       1227161     37.04   0.74        1500007     44.46   0.89        
4       813797      12.28   0.49        2209224     32.74   1.31        
6       894703      9.00    0.54        1968263     19.45   1.17        
8       894374      6.75    0.54        1572807     11.65   0.93        
10      893910      5.40    0.54        1350772     8.01    0.80        
12      884403      4.45    0.53        1249925     6.17    0.74        
14      892915      3.85    0.54        1102092     4.67    0.65        
16      872202      3.29    0.53        1035411     3.84    0.61        
18      853695      2.86    0.52        973537      3.21    0.58        
20      835823      2.52    0.50        913457      2.71    0.54        
22      808531      2.22    0.49        918569      2.48    0.54        
24      788293      1.98    0.48        913022      2.26    0.54        
26      755245      1.75    0.46        921552      2.10    0.55        
28      730600      1.58    0.44        932440      1.97    0.55        
30      717522      1.44    0.43        939803      1.86    0.56        
32      702530      1.33    0.42        943517      1.75    0.56        
34      687458      1.22    0.41        942473      1.64    0.56        
36      671045      1.13    0.41        949144      1.56    0.56        
38      680596      1.08    0.41        966195      1.51    0.57        
40      653142      0.99    0.39        985493      1.46    0.58        
44      5826        0.01    0.00        988626      1.33    0.59        
48      5565        0.01    0.00        994342      1.23    0.59        
52      3472        0.00    0.00        1004468     1.15    0.60        
56      4883        0.01    0.00        997734      1.06    0.59        
60      4434        0.00    0.00        998276      0.99    0.59        
