### params -i1 -r1 -u0 / keep  of reps 11 of dur 5000
#       ./bin/lpdxeon2680/optik_test2     ./bin/lpdxeon2680/optik_test0     ./bin/lpdxeon2680/optik_test1     
#cores  thrgh-suc thrgh-all thrgh-cas cas/sc thrgh-suc thrgh-all thrgh-cas cas/sc thrgh-suc thrgh-all thrgh-cas cas/sc 
1       60848304  60848304  60848304  1.00   43247785  43247785  43247785  1.00   58214557  58214557  58214557  1.00   
2       8027926   13306638  13306778  1.66   6341734   9534247   7619722   1.20   8542516   11736153  10731738  1.26   
4       2356040   4768745   6296517   2.67   4752445   10339753  7006887   1.47   5068542   10661817  7348131   1.45   
6       1424728   3839077   6303252   4.42   4129176   10475698  7179830   1.74   4179446   11365548  7019350   1.68   
8       1078611   3583552   6474815   6.00   3735930   12021318  7002990   1.87   4073305   11538829  7621662   1.87   
10      830113    3166764   6610136   7.96   3553483   12173253  7247087   2.04   3790919   12597365  7299523   1.93   
12      668904    2718317   6246248   9.34   3365187   11962196  7232701   2.15   3559614   12876301  7361550   2.07   
14      568843    2513645   6551665   11.52  3073793   12923341  6818539   2.22   3544431   12764402  7380977   2.08   
16      507776    2389341   6304979   12.42  2988945   13209302  6723416   2.25   3341090   13121556  7379384   2.21   
18      438779    2335670   6542909   14.91  2902567   12701481  7212427   2.48   3314416   13551034  7449767   2.25   
20      382111    2186150   6636979   17.37  2758594   13352584  6698726   2.43   3305595   14021377  7253588   2.19   
22      349921    2039135   6319167   18.06  2859922   13785982  7192602   2.51   3358429   14347801  7460512   2.22   
24      325954    2056465   6640578   20.37  2977479   14328439  7082780   2.38   3214427   13707312  8074462   2.51   
26      298062    1992643   6921133   23.22  2957014   14093347  7627560   2.58   3383778   14754966  7618566   2.25   
28      297204    2074516   7449688   25.07  2976723   14547955  7546429   2.54   3337040   14523804  8452079   2.53   
30      280104    2044963   7734741   27.61  3281976   15187014  7960779   2.43   3368173   14811422  8589229   2.55   
32      266011    2086743   8030754   30.19  3277618   15143486  8331028   2.54   3490459   15469553  8112626   2.32   
34      246797    2015103   8303852   33.65  3314217   15269914  8742277   2.64   3420147   15256635  8834231   2.58   
36      243852    2045806   8638677   35.43  3421396   15624357  8249552   2.41   3488416   15494550  9025403   2.59   
38      238119    2096928   9050108   38.01  3465879   15846873  8608664   2.48   3498448   15696781  8806135   2.52   
40      221458    2040439   9241855   41.73  3453010   15835197  9193580   2.66   3554284   15939278  8522342   2.40   
44      219714    1899948   8315075   37.84  3532253   14852129  8217405   2.33   3580249   14868379  8164891   2.28   
48      191974    1755589   7811566   40.69  3611724   13829432  7721795   2.14   3634357   13878512  7646512   2.10   
52      180229    1674069   7254774   40.25  3603928   12949852  7465922   2.07   3632186   12857650  7212605   1.99   
56      174691    1650175   6731977   38.54  3571936   12084038  7044212   1.97   3576498   12150290  7028836   1.97   
60      165943    1426273   6444430   38.84  3552197   11312133  6809642   1.92   3665652   11316140  6761899   1.84   
