### params -i65534 -p40 / keep median of reps 11 of dur 5000
# Result from 11 repetitions: median
#       ././bin/lpdxeon2680/lf-qu_ms    ./bin/lpdxeon2680/lb-qu_ms      ./bin/lpdxeon2680/lb-qu_optik0  ./bin/lpdxeon2680/lb-qu_optik1  ./bin/lpdxeon2680/lb-qu_optik2  ./bin/lpdxeon2680/lb-qu_optik3  
#cores  throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability 
1       49934193    100.00  1           36260160    100.00  1           45263925    100.00  1           42800473    100.00  1           46967814    100.00  1           47633038    100.00  1           
2       12724504    12.74   0.25        4820904     6.65    0.13        11772489    13.00   0.26        17480632    20.42   0.41        12529418    13.34   0.27        13843707    14.53   0.29        
4       7049623     3.53    0.14        4278628     2.95    0.12        5372510     2.97    0.12        6510567     3.80    0.15        7124286     3.79    0.15        7655959     4.02    0.16        
6       5614830     1.87    0.11        4338262     1.99    0.12        5032037     1.85    0.11        5596653     2.18    0.13        5609348     1.99    0.12        6278540     2.20    0.13        
8       5184553     1.30    0.10        4474393     1.54    0.12        4803042     1.33    0.11        5384289     1.57    0.13        5139133     1.37    0.11        5744975     1.51    0.12        
10      4964509     0.99    0.10        4296247     1.18    0.12        4617195     1.02    0.10        5051177     1.18    0.12        4917988     1.05    0.10        5352710     1.12    0.11        
12      4898956     0.82    0.10        4202725     0.97    0.12        4206365     0.77    0.09        5086572     0.99    0.12        4810147     0.85    0.10        5276211     0.92    0.11        
14      4678173     0.67    0.09        4280881     0.84    0.12        4070342     0.64    0.09        4853266     0.81    0.11        4781555     0.73    0.10        5047914     0.76    0.11        
16      4604861     0.58    0.09        4155683     0.72    0.11        3949364     0.55    0.09        4808030     0.70    0.11        4639822     0.62    0.10        4858997     0.64    0.10        
18      4468372     0.50    0.09        4102690     0.63    0.11        3835293     0.47    0.08        4736401     0.61    0.11        4567028     0.54    0.10        4708137     0.55    0.10        
20      4429599     0.44    0.09        4090776     0.56    0.11        3885165     0.43    0.09        4660504     0.54    0.11        4533256     0.48    0.10        4643703     0.49    0.10        
22      4263851     0.39    0.09        4117723     0.52    0.11        3788214     0.38    0.08        4596134     0.49    0.11        4477412     0.43    0.10        4552211     0.43    0.10        
24      4221456     0.35    0.08        4123251     0.47    0.11        3766669     0.35    0.08        4535016     0.44    0.11        4497099     0.40    0.10        4495129     0.39    0.09        
26      4104409     0.32    0.08        4140182     0.44    0.11        3739452     0.32    0.08        4438246     0.40    0.10        4423877     0.36    0.09        4470343     0.36    0.09        
28      4051096     0.29    0.08        4160368     0.41    0.11        3791271     0.30    0.08        4380652     0.37    0.10        4424527     0.34    0.09        4392478     0.33    0.09        
30      3972368     0.27    0.08        4192005     0.39    0.12        3824298     0.28    0.08        4376357     0.34    0.10        4312609     0.31    0.09        4366098     0.31    0.09        
32      3847979     0.24    0.08        4190397     0.36    0.12        3817267     0.26    0.08        4235298     0.31    0.10        4326954     0.29    0.09        4276704     0.28    0.09        
34      3747155     0.22    0.08        4235107     0.34    0.12        3838790     0.25    0.08        4266157     0.29    0.10        4268909     0.27    0.09        4218304     0.26    0.09        
36      3730011     0.21    0.07        4246202     0.33    0.12        3922568     0.24    0.09        4132987     0.27    0.10        4172984     0.25    0.09        4199937     0.24    0.09        
38      3624039     0.19    0.07        4243348     0.31    0.12        3878978     0.23    0.09        4105413     0.25    0.10        4139260     0.23    0.09        4110188     0.23    0.09        
40      3550929     0.18    0.07        4265469     0.29    0.12        3875383     0.21    0.09        4029549     0.24    0.09        4093560     0.22    0.09        4045483     0.21    0.08        
44      3622274     0.16    0.07        24327       0.00    0.00        24676       0.00    0.00        68744       0.00    0.00        3940121     0.19    0.08        3507518     0.17    0.07        
48      3572923     0.15    0.07        26580       0.00    0.00        28854       0.00    0.00        69872       0.00    0.00        3821321     0.17    0.08        2940170     0.13    0.06        
52      3581958     0.14    0.07        30202       0.00    0.00        20355       0.00    0.00        52886       0.00    0.00        3688064     0.15    0.08        2523796     0.10    0.05        
56      3675708     0.13    0.07        22460       0.00    0.00        24993       0.00    0.00        43939       0.00    0.00        3533416     0.13    0.08        2246441     0.08    0.05        
60      3615864     0.12    0.07        19890       0.00    0.00        12008       0.00    0.00        63421       0.00    0.00        3515110     0.12    0.07        1831774     0.06    0.04        
