### params -i65534 -p50 / keep median of reps 11 of dur 5000
# Result from 11 repetitions: median
#       ././bin/lpdxeon2680/lf-qu_ms    ./bin/lpdxeon2680/lb-qu_ms      ./bin/lpdxeon2680/lb-qu_optik0  ./bin/lpdxeon2680/lb-qu_optik1  ./bin/lpdxeon2680/lb-qu_optik2  ./bin/lpdxeon2680/lb-qu_optik2a ./bin/lpdxeon2680/lb-qu_optik3  
#cores  throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability 
1       44057557    100.00  1           32978046    100.00  1           38551576    100.00  1           36350977    100.00  1           40078561    100.00  1           39191058    100.00  1           41785326    100.00  1           
2       27678339    31.41   0.63        4186526     6.35    0.13        10131687    13.14   0.26        6548343     9.01    0.18        11489253    14.33   0.29        25215265    32.17   0.64        23366508    27.96   0.56        
4       21984010    12.47   0.50        4648407     3.52    0.14        5299191     3.44    0.14        7378892     5.07    0.20        20915183    13.05   0.52        19963872    12.73   0.51        17534809    10.49   0.42        
6       20873537    7.90    0.47        4940876     2.50    0.15        5499909     2.38    0.14        12529255    5.74    0.34        20317891    8.45    0.51        18650612    7.93    0.48        17668178    7.05    0.42        
8       20695372    5.87    0.47        5079561     1.93    0.15        5065186     1.64    0.13        12622775    4.34    0.35        20256487    6.32    0.51        18758916    5.98    0.48        17517464    5.24    0.42        
10      20166657    4.58    0.46        4964849     1.51    0.15        4987149     1.29    0.13        12782392    3.52    0.35        19949609    4.98    0.50        18366480    4.69    0.47        17417205    4.17    0.42        
12      18876706    3.57    0.43        5061276     1.28    0.15        4809367     1.04    0.12        12716082    2.92    0.35        18454949    3.84    0.46        17505239    3.72    0.45        16461735    3.28    0.39        
14      17923414    2.91    0.41        5012832     1.09    0.15        4721536     0.87    0.12        12341958    2.43    0.34        17449599    3.11    0.44        16546334    3.02    0.42        15488837    2.65    0.37        
16      16544413    2.35    0.38        5084128     0.96    0.15        4567918     0.74    0.12        10270037    1.77    0.28        16287035    2.54    0.41        15702963    2.50    0.40        14636481    2.19    0.35        
18      15072410    1.90    0.34        5073738     0.85    0.15        4563821     0.66    0.12        8503804     1.30    0.23        15251307    2.11    0.38        13733547    1.95    0.35        11471873    1.53    0.27        
20      13477358    1.53    0.31        5071194     0.77    0.15        4455985     0.58    0.12        7566124     1.04    0.21        13446165    1.68    0.34        11639902    1.49    0.30        11012580    1.32    0.26        
22      10104175    1.04    0.23        5041745     0.69    0.15        4579138     0.54    0.12        6569710     0.82    0.18        10355499    1.17    0.26        9824517     1.14    0.25        7946555     0.86    0.19        
24      9244722     0.87    0.21        5061959     0.64    0.15        4544644     0.49    0.12        5896611     0.68    0.16        9278818     0.96    0.23        9096432     0.97    0.23        7288605     0.73    0.17        
26      8916577     0.78    0.20        5067536     0.59    0.15        4441899     0.44    0.12        5904550     0.62    0.16        9017193     0.87    0.22        8609503     0.84    0.22        7233656     0.67    0.17        
28      8712652     0.71    0.20        5066133     0.55    0.15        4467812     0.41    0.12        5818834     0.57    0.16        8791218     0.78    0.22        8446467     0.77    0.22        7167851     0.61    0.17        
30      8555909     0.65    0.19        5079331     0.51    0.15        4512638     0.39    0.12        5771076     0.53    0.16        8659025     0.72    0.22        8323724     0.71    0.21        7124825     0.57    0.17        
32      8410122     0.60    0.19        4997586     0.47    0.15        4487175     0.36    0.12        5735229     0.49    0.16        8543269     0.67    0.21        8222237     0.66    0.21        7077285     0.53    0.17        
34      8334435     0.56    0.19        4975787     0.44    0.15        4532693     0.35    0.12        5718766     0.46    0.16        8411761     0.62    0.21        8091908     0.61    0.21        7018154     0.49    0.17        
36      8215814     0.52    0.19        4932016     0.42    0.15        4404980     0.32    0.11        5675082     0.43    0.16        8301415     0.58    0.21        7980415     0.57    0.20        7051526     0.47    0.17        
38      8130459     0.49    0.18        4947431     0.39    0.15        4556110     0.31    0.12        5668251     0.41    0.16        8192648     0.54    0.20        7897910     0.53    0.20        6993897     0.44    0.17        
40      8037520     0.46    0.18        4907318     0.37    0.15        4699458     0.30    0.12        5613135     0.39    0.15        8108201     0.51    0.20        7778615     0.50    0.20        6932765     0.41    0.17        
44      7934496     0.41    0.18        44570       0.00    0.00        40879       0.00    0.00        5731        0.00    0.00        8002785     0.45    0.20        7644219     0.44    0.20        6799330     0.37    0.16        
48      7898071     0.37    0.18        47869       0.00    0.00        51545       0.00    0.00        6933        0.00    0.00        7942031     0.41    0.20        7609181     0.40    0.19        6560210     0.33    0.16        
52      7869294     0.34    0.18        53262       0.00    0.00        37754       0.00    0.00        6840        0.00    0.00        7934764     0.38    0.20        7628345     0.37    0.19        6235008     0.29    0.15        
56      7886930     0.32    0.18        49276       0.00    0.00        40412       0.00    0.00        5145        0.00    0.00        7954225     0.35    0.20        7602137     0.35    0.19        5196121     0.22    0.12        
60      7857837     0.30    0.18        54983       0.00    0.00        46918       0.00    0.00        6876        0.00    0.00        7936692     0.33    0.20        7624670     0.32    0.19        4270265     0.17    0.10        
